origin	idx	label	A&B	C=A	C=A&B	C=B	M=A>B	M=B>A
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	1	A=[a,a];B=[b+b]	1	1	0	0	2	1
12	52	A=[a];B=[a,b+b]	1	0	0	1	1	2
12	37	A=[a];B=[a+b+b]	1	0	0	0	1	1
12	27	A&B=[a,a+b+b]	0	0	1	0	0	0
12	12	A&B=[a,a+b+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	1	A=[a,a];B=[b+b]	1	1	0	0	2	1
12	52	A=[a];B=[a,b+b]	1	0	0	1	1	2
12	50	A=[a,b+b];B=[a]	1	1	0	0	2	1
12	51	A=[b+b];B=[a,a]	1	0	0	1	1	2
12	23	A=[b+b];B=[a+a]	1	0	0	0	1	1
12	11	A&B=[a+a,b+b]	0	0	1	0	0	0
12	12	A&B=[a+a,b+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	1	A=[a,a];B=[b+b]	1	1	0	0	2	1
12	52	A=[a];B=[a,b+b]	1	0	0	1	1	2
12	50	A=[a,b+b];B=[a]	1	1	0	0	2	1
12	51	A=[b+b];B=[a,a]	1	0	0	1	1	2
12	26	A&B=[a,a,b+b]	0	0	3	0	0	0
12	11	A&B=[a+a,b+b]	0	0	1	0	0	0
12	12	A&B=[a+a,b+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	1	A=[a,a];B=[b+b]	1	1	0	0	2	1
12	52	A=[a];B=[a,b+b]	1	0	0	1	1	2
12	50	A=[a,b+b];B=[a]	1	1	0	0	2	1
12	51	A=[b+b];B=[a,a]	1	0	0	1	1	2
12	26	A&B=[a,a,b+b]	0	0	3	0	0	0
12	27	A&B=[a,a+b+b]	0	0	1	0	0	0
12	12	A&B=[a,a+b+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	1	A=[a,a];B=[b+b]	1	1	0	0	2	1
12	52	A=[a];B=[a,b+b]	1	0	0	1	1	2
12	50	A=[a,b+b];B=[a]	1	1	0	0	2	1
12	26	A&B=[a,a,b+b]	0	0	3	0	0	0
12	11	A&B=[a+a,b+b]	0	0	1	0	0	0
12	12	A&B=[a+a,b+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	1	A=[a,a];B=[b+b]	1	1	0	0	2	1
12	52	A=[a];B=[a,b+b]	1	0	0	1	1	2
12	50	A=[a,b+b];B=[a]	1	1	0	0	2	1
12	26	A&B=[a,a,b+b]	0	0	3	0	0	0
12	27	A&B=[a,a+b+b]	0	0	1	0	0	0
12	12	A&B=[a,a+b+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	1	A=[a,a];B=[b+b]	1	1	0	0	2	1
12	52	A=[a];B=[a,b+b]	1	0	0	1	1	2
12	50	A=[a,b+b];B=[a]	1	1	0	0	2	1
12	44	A=[a+b+b];B=[a]	1	0	0	0	1	1
12	27	A&B=[a,a+b+b]	0	0	1	0	0	0
12	12	A&B=[a,a+b+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	1	A=[a,a];B=[b+b]	1	1	0	0	2	1
12	52	A=[a];B=[a,b+b]	1	0	0	1	1	2
12	26	A&B=[a,a,b+b]	0	0	3	0	0	0
12	11	A&B=[a+a,b+b]	0	0	1	0	0	0
12	12	A&B=[a+a,b+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	1	A=[a,a];B=[b+b]	1	1	0	0	2	1
12	52	A=[a];B=[a,b+b]	1	0	0	1	1	2
12	26	A&B=[a,a,b+b]	0	0	3	0	0	0
12	27	A&B=[a,a+b+b]	0	0	1	0	0	0
12	12	A&B=[a,a+b+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	1	A=[a,a];B=[b+b]	1	1	0	0	2	1
12	26	A&B=[a,a,b+b]	0	0	3	0	0	0
12	11	A&B=[a+a,b+b]	0	0	1	0	0	0
12	12	A&B=[a+a,b+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	1	A=[a,a];B=[b+b]	1	1	0	0	2	1
12	26	A&B=[a,a,b+b]	0	0	3	0	0	0
12	27	A&B=[a,a+b+b]	0	0	1	0	0	0
12	12	A&B=[a,a+b+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	1	A=[a,a];B=[b+b]	1	1	0	0	2	1
12	6	A=[a+a];B=[b+b]	1	0	0	0	1	1
12	11	A&B=[a+a,b+b]	0	0	1	0	0	0
12	12	A&B=[a+a,b+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	2	A=[a];B=[a,b,b]	1	0	0	3	1	3
12	33	A=[a];B=[a+b,b]	1	0	0	1	1	2
12	37	A=[a];B=[a+b+b]	1	0	0	0	1	1
12	27	A&B=[a,a+b+b]	0	0	1	0	0	0
12	12	A&B=[a,a+b+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	2	A=[a];B=[a,b,b]	1	0	0	3	1	3
12	33	A=[a];B=[a+b,b]	1	0	0	1	1	2
12	31	A=[a,a+b];B=[b]	1	1	0	0	2	1
12	32	A=[a+b];B=[a,b]	1	0	0	1	1	2
12	41	A=[a+b];B=[a+b]	1	0	0	0	1	1
12	28	A&B=[a+b,a+b]	0	0	1	0	0	0
12	12	A&B=[a+b,a+b]	0	0	0	0	0	0
12	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
12	2	A=[a];B=[a,b,b]	1	0	0	3	1	3
12	33	A=[a];B=[a+b,b]	1	0	0	1	1	2
12	31	A=[a,a+b];B=[b]	1	1	0	0	2	1
