# gimble v1.0.2
replicate_idx	Ne_A	Ne_A_B	Ne_B	T	anomaly_count	lnCL	me	nlopt_exit_code	nlopt_iterations	nlopt_time
0	1960802.7259714166	470098.97131112154	801130.487671271	3336949.769845482	0	-39186870.21261747	4.4614214308811164e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:31.673s
1	1945364.1610688164	479687.5737631272	796244.5943434022	3317824.2305229465	1	-39185410.52729829	4.415209451885647e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:02.651s
2	1954161.142215921	474920.8021829233	804232.6372597285	3344539.9376812456	4	-39220760.110253595	4.547693475169472e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:43.345s
3	1967945.2755776355	485314.7184868496	806337.8098147023	3286229.6087890486	6	-39163375.39348483	4.4476425704006784e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:51.885s
4	1961911.0285720804	485260.164064385	798999.9383639162	3298606.0819584127	8	-39177039.05529445	4.467509467852874e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:23.343s
5	1950886.164453626	487470.24607600254	808399.0715624675	3327149.858925979	11	-39273597.75305022	4.442429312590759e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:19.012s
6	1955371.722018022	479651.0678799031	804871.2189032703	3333613.145565139	13	-39234020.97935968	4.4884636770299944e-07	NLOPT_MAXEVAL_REACHED	5001	00h:47m:27.809s
7	1947541.120532341	485136.23475566716	807965.4592101158	3316056.105319659	19	-39224181.231268965	4.430592721459377e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:56.748s
8	1958894.1888266439	482620.1273993457	802291.7560810244	3333807.9062570846	23	-39248936.38147461	4.489504871221402e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:37.527s
9	1950785.3304385454	475829.4392897483	810125.3837087653	3336052.8716132757	26	-39221754.219062835	4.480023331314854e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:47.341s
10	1965304.1557106026	481302.0337754781	798370.4055235717	3309965.261355047	3	-39182320.65009442	4.5132080554085404e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:24.054s
11	1962683.3688757895	472449.04352155444	804679.7931655477	3347935.380184426	3	-39235556.457899585	4.4797966355645196e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:26.861s
12	1957441.7111457475	495302.61546589754	794898.5597950009	3282592.1790675055	3	-39170996.160883114	4.5024509276911463e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:45.042s
13	1975062.0166682934	501816.26436609164	801260.3526985045	3279668.5401980835	3	-39244373.5209532	4.467229916002875e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:39.722s
14	1948863.2103579817	482572.8048023133	803873.9885536972	3323367.075719947	3	-39223328.54927145	4.440544817315803e-07	NLOPT_MAXEVAL_REACHED	5002	00h:46m:12.318s
15	1939650.6330040712	487064.80723118933	810460.0201310911	3312450.070080388	3	-39217072.15934147	4.427010435055037e-07	NLOPT_MAXEVAL_REACHED	5001	00h:46m:32.812s
16	1959053.584335368	461893.1284275887	793463.1510778044	3369268.489184214	3	-39201362.46291888	4.4822808051131595e-07	NLOPT_MAXEVAL_REACHED	5009	00h:46m:36.196s
17	1950171.9419827643	475313.7449778685	802425.4713860173	3364408.8240647158	3	-39267814.1040702	4.53271578502442e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:33.835s
18	1962609.6530180243	485116.2831489647	807417.6109193645	3322180.5680293674	3	-39231708.69535814	4.509115839087748e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:27.334s
19	1968837.7420047151	465347.63150765694	808980.1644352009	3369544.673867843	4	-39273327.21750431	4.4867715933227767e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:51.396s
20	1962339.4723846344	483966.5457429243	792890.5431581339	3299323.009563891	4	-39134678.364220075	4.5423199965088157e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:33.463s
21	1950465.0636238265	467105.53032829723	809394.6910931426	3365806.9741662336	4	-39242488.0212425	4.495221465421942e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:39.065s
22	1950419.1327366652	476024.5802144251	799551.9979251726	3337612.1822447367	4	-39215727.55279832	4.490109097053612e-07	NLOPT_MAXEVAL_REACHED	5003	00h:46m:43.805s
23	1968652.3430503805	489190.40995380835	802398.5103221996	3293848.512859906	4	-39187472.58944884	4.548185951224831e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:57.144s
24	1970020.5471987964	471055.88774109905	802318.1306046566	3361592.569586449	4	-39276903.96874233	4.5152921333614336e-07	NLOPT_MAXEVAL_REACHED	5002	00h:46m:43.991s
25	1964686.9349761882	484819.50020166487	794958.9468720125	3304465.6550001893	4	-39186523.011761315	4.5119692206138243e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:57.810s
26	1974771.6396481036	482579.4039959283	803799.3040022347	3316537.2197446637	6	-39239791.38016603	4.4942448800738484e-07	NLOPT_MAXEVAL_REACHED	5002	00h:46m:56.613s
27	1959185.4152999402	462550.99636241555	802668.629777676	3369600.7515833112	6	-39225434.78404368	4.511611808132391e-07	NLOPT_MAXEVAL_REACHED	5001	00h:47m:03.496s
28	1955997.3899152465	483238.75331092096	803367.4967454725	3330499.697310819	6	-39251115.90605613	4.473436843061953e-07	NLOPT_MAXEVAL_REACHED	5001	00h:48m:24.854s
29	1949235.9962529975	483088.78951840615	794589.8446591854	3327744.9102539048	6	-39197838.69643921	4.5023879456617e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:57.410s
30	1963221.2009944953	480380.0080309589	798956.2394088883	3317811.35184862	6	-39208437.672065295	4.47105411414872e-07	NLOPT_MAXEVAL_REACHED	5002	00h:46m:59.061s
31	1967367.8706169461	485281.8693762064	808778.6668962961	3307206.9553759494	6	-39231120.194742024	4.438481313245056e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:07.596s
32	1960387.7170718715	473674.60730437987	796400.9704984264	3341484.546412793	6	-39223115.73980878	4.507763941878053e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:09.828s
33	1961868.1787215825	474157.5642705853	794274.390306093	3330577.300601388	6	-39178050.09885133	4.4946416334412626e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:03.000s
34	1967112.4991602516	479533.33952771575	790972.3980156389	3328487.9016168667	6	-39213950.45528494	4.5024923427243187e-07	NLOPT_MAXEVAL_REACHED	5000	00h:46m:58.643s
35	1947968.4291337547	500333.23948013596	803898.6440427252	3291826.3441896243	8	-39249259.49648654	4.395524650841154e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:09.815s
36	1971615.9444308255	486780.7565957754	800247.2148939581	3312594.381953773	8	-39235517.44586477	4.489595640775972e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:03.543s
37	1965845.0376136312	483354.8935291183	799471.7484281245	3324954.8384839604	8	-39232813.93823029	4.5267519882367453e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:05.470s
38	1948035.3222138481	481449.56047722	811994.9883679498	3309910.8677588687	8	-39191468.0830221	4.43496973250396e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:07.406s
39	1949746.4503724007	492396.29292724904	808893.0562914591	3278166.092667519	8	-39168793.79593354	4.4897894665285427e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:06.395s
40	1947148.1656543717	488619.7870504359	804549.2188417623	3317033.3248187015	8	-39228251.82049592	4.4371975917908927e-07	NLOPT_MAXEVAL_REACHED	5001	00h:47m:01.257s
41	1963796.7178373148	486394.92011923465	804396.6682164143	3310036.699323594	8	-39208683.70438271	4.5386779766787836e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:13.456s
42	1960777.9283484474	486473.0801820163	799370.8922641306	3293666.6306436844	8	-39164971.77990475	4.5048834616022744e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:24.595s
43	1956421.302441477	464440.99394120363	800735.6057981168	3374801.130674419	9	-39241967.132803135	4.4778436107280364e-07	NLOPT_MAXEVAL_REACHED	5000	00h:47m:18.756s
44	1961060.6623677642	471255.17638136004	800603.4775913953	3366661.615289524	10	-39261455.347593546	4.493426986591091e-07	NLOPT_MAXEVAL_REACHED	5001	00h:47m:16.586s
