path_idx	node_id	LCA	label	event	count	J_A_B	C_A	C_A_B	C_B	M_B_A	m_1	m_2	m_3	m_4
0	2	15	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
0	25	15	A=[a1+a1];B=[b1,b1]	C_B	1	1	0	0	1	2	2	0	0	1
0	12	15	A=[a1+a1];B=[b1+b1]	M_B_A	1	1	0	0	0	1	0	0	0	2
0	15	15	A=[a1+a1,b1+b1]	C_A	1	1	1	0	0	0	0	0	0	2
1	2	15	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
1	5	15	A=[a1+a1];B=[b1,b1]	M_B_A	2	1	0	0	1	2	2	0	0	1
1	24	15	A=[a1+a1,b1];B=[b1]	C_A	1	1	1	0	0	1	2	0	0	1
1	19	15	A=[a1+a1+b1];B=[b1]	M_B_A	1	1	0	0	0	1	2	0	0	0
1	15	15	A=[a1+a1+b1,b1]	C_A	1	1	1	0	0	0	2	0	0	0
2	2	15	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
2	5	15	A=[a1+a1];B=[b1,b1]	M_B_A	2	1	0	0	1	2	2	0	0	1
2	8	15	A=[a1+a1,b1];B=[b1]	M_B_A	1	1	1	0	0	1	2	0	0	1
2	19	15	A=[a1+a1,b1,b1]	C_A	2	1	3	0	0	0	2	0	0	1
2	15	15	A=[a1+a1+b1,b1]	C_A	1	1	1	0	0	0	2	0	0	0
3	2	15	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
3	5	15	A=[a1+a1];B=[b1,b1]	M_B_A	2	1	0	0	1	2	2	0	0	1
3	8	15	A=[a1+a1,b1];B=[b1]	M_B_A	1	1	1	0	0	1	2	0	0	1
3	12	15	A=[a1+a1,b1,b1]	C_A	1	1	3	0	0	0	2	0	0	1
3	15	15	A=[a1+a1,b1+b1]	C_A	1	1	1	0	0	0	0	0	0	2
4	3	15	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
4	25	15	A=[a1,a1];B=[b1+b1]	C_A	1	1	1	0	0	1	0	2	0	1
