path_idx	origin	label	A&B	C=A&B	C=B	b1	b1b1	b1b1b2	b1b1b2b2	b1b2	b1b2b2	b2	b2b2
1	10	B=[b1,b1,b2,b2]	1	0	6	2	0	0	0	0	0	2	0
1	10	A&B=[b1,b1,b2,b2]	0	6	0	2	0	0	0	0	0	2	0
1	10	A&B=[b1+b1,b2,b2]	0	3	0	0	1	0	0	0	0	2	0
1	10	A&B=[b1+b1+b2,b2]	0	1	0	0	0	1	0	0	0	1	0
1	10	A&B=[b1+b1+b2,b2]	0	0	0	0	0	0	0	0	0	0	0
2	10	B=[b1,b1,b2,b2]	1	0	6	2	0	0	0	0	0	2	0
2	10	A&B=[b1,b1,b2,b2]	0	6	0	2	0	0	0	0	0	2	0
2	10	A&B=[b1+b1,b2,b2]	0	3	0	0	1	0	0	0	0	2	0
2	10	A&B=[b1+b1,b2+b2]	0	1	0	0	1	0	0	0	0	0	1
2	10	A&B=[b1+b1,b2+b2]	0	0	0	0	0	0	0	0	0	0	0
3	10	B=[b1,b1,b2,b2]	1	0	6	2	0	0	0	0	0	2	0
3	10	A&B=[b1,b1,b2,b2]	0	6	0	2	0	0	0	0	0	2	0
3	10	A&B=[b1,b1+b2,b2]	0	3	0	1	0	0	0	1	0	1	0
3	10	A&B=[b1+b1+b2,b2]	0	1	0	0	0	1	0	0	0	1	0
3	10	A&B=[b1+b1+b2,b2]	0	0	0	0	0	0	0	0	0	0	0
4	10	B=[b1,b1,b2,b2]	1	0	6	2	0	0	0	0	0	2	0
4	10	A&B=[b1,b1,b2,b2]	0	6	0	2	0	0	0	0	0	2	0
4	10	A&B=[b1,b1+b2,b2]	0	3	0	1	0	0	0	1	0	1	0
4	10	A&B=[b1+b2,b1+b2]	0	1	0	0	0	0	0	2	0	0	0
4	10	A&B=[b1+b2,b1+b2]	0	0	0	0	0	0	0	0	0	0	0
5	10	B=[b1,b1,b2,b2]	1	0	6	2	0	0	0	0	0	2	0
5	10	A&B=[b1,b1,b2,b2]	0	6	0	2	0	0	0	0	0	2	0
5	10	A&B=[b1,b1+b2,b2]	0	3	0	1	0	0	0	1	0	1	0
5	10	A&B=[b1,b1+b2+b2]	0	1	0	1	0	0	0	0	1	0	0
5	10	A&B=[b1,b1+b2+b2]	0	0	0	0	0	0	0	0	0	0	0
6	10	B=[b1,b1,b2,b2]	1	0	6	2	0	0	0	0	0	2	0
6	10	A&B=[b1,b1,b2,b2]	0	6	0	2	0	0	0	0	0	2	0
6	10	A&B=[b1,b1,b2+b2]	0	3	0	2	0	0	0	0	0	0	1
6	10	A&B=[b1+b1,b2+b2]	0	1	0	0	1	0	0	0	0	0	1
6	10	A&B=[b1+b1,b2+b2]	0	0	0	0	0	0	0	0	0	0	0
7	10	B=[b1,b1,b2,b2]	1	0	6	2	0	0	0	0	0	2	0
7	10	A&B=[b1,b1,b2,b2]	0	6	0	2	0	0	0	0	0	2	0
7	10	A&B=[b1,b1,b2+b2]	0	3	0	2	0	0	0	0	0	0	1
7	10	A&B=[b1,b1+b2+b2]	0	1	0	1	0	0	0	0	1	0	0
7	10	A&B=[b1,b1+b2+b2]	0	0	0	0	0	0	0	0	0	0	0
8	10	B=[b1,b1,b2,b2]	1	0	6	2	0	0	0	0	0	2	0
8	10	B=[b1+b1,b2,b2]	1	0	3	0	1	0	0	0	0	2	0
8	10	A&B=[b1+b1,b2,b2]	0	3	0	0	1	0	0	0	0	2	0
8	10	A&B=[b1+b1+b2,b2]	0	1	0	0	0	1	0	0	0	1	0
8	10	A&B=[b1+b1+b2,b2]	0	0	0	0	0	0	0	0	0	0	0
9	10	B=[b1,b1,b2,b2]	1	0	6	2	0	0	0	0	0	2	0
9	10	B=[b1+b1,b2,b2]	1	0	3	0	1	0	0	0	0	2	0
9	10	A&B=[b1+b1,b2,b2]	0	3	0	0	1	0	0	0	0	2	0
9	10	A&B=[b1+b1,b2+b2]	0	1	0	0	1	0	0	0	0	0	1
9	10	A&B=[b1+b1,b2+b2]	0	0	0	0	0	0	0	0	0	0	0
10	10	B=[b1,b1,b2,b2]	1	0	6	2	0	0	0	0	0	2	0
10	10	B=[b1+b1,b2,b2]	1	0	3	0	1	0	0	0	0	2	0
