path_idx	node_id	LCA	label	event	count	C_A	C_B	M_B_A	m_1	m_4
0	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
0	44	21	B=[b1+b1,b2,b2]	C_B	2	0	3	3	2	1
0	31	21	B=[b1+b1+b2,b2]	M_B_A	1	0	1	2	1	0
0	22	21	A=[b1+b1+b2];B=[b2]	M_B_A	1	0	0	1	1	0
0	21	21	A=[b1+b1+b2,b2]	C_A	1	1	0	0	1	0
1	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
1	44	21	B=[b1+b1,b2,b2]	C_B	2	0	3	3	2	1
1	33	21	B=[b1+b1+b2,b2]	M_B_A	1	0	1	2	1	0
1	22	21	A=[b2];B=[b1+b1+b2]	M_B_A	1	0	0	1	1	0
1	21	21	A=[b1+b1+b2,b2]	C_A	1	1	0	0	1	0
2	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
2	41	21	B=[b1+b1,b2,b2]	C_B	1	0	3	3	2	1
2	39	21	B=[b1+b1,b2+b2]	M_B_A	1	0	1	2	0	2
2	19	21	A=[b1+b1];B=[b2+b2]	M_B_A	1	0	0	1	0	2
2	21	21	A=[b1+b1,b2+b2]	C_A	1	1	0	0	0	2
3	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
3	41	21	B=[b1+b1,b2,b2]	C_B	1	0	3	3	2	1
3	25	21	B=[b1+b1,b2+b2]	M_B_A	1	0	1	2	0	2
3	19	21	A=[b2+b2];B=[b1+b1]	M_B_A	1	0	0	1	0	2
3	21	21	A=[b1+b1,b2+b2]	C_A	1	1	0	0	0	2
4	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
4	37	21	B=[b1+b1,b2,b2]	M_B_A	1	0	3	3	2	1
4	39	21	A=[b1+b1];B=[b2,b2]	C_B	1	0	1	2	2	1
4	19	21	A=[b1+b1];B=[b2+b2]	M_B_A	1	0	0	1	0	2
4	21	21	A=[b1+b1,b2+b2]	C_A	1	1	0	0	0	2
5	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
5	37	21	B=[b1+b1,b2,b2]	M_B_A	1	0	3	3	2	1
5	29	21	A=[b1+b1];B=[b2,b2]	M_B_A	2	0	1	2	2	1
5	31	21	A=[b1+b1,b2];B=[b2]	C_A	1	1	0	1	2	1
5	22	21	A=[b1+b1+b2];B=[b2]	M_B_A	1	0	0	1	1	0
5	21	21	A=[b1+b1+b2,b2]	C_A	1	1	0	0	1	0
6	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
6	37	21	B=[b1+b1,b2,b2]	M_B_A	1	0	3	3	2	1
6	29	21	A=[b1+b1];B=[b2,b2]	M_B_A	2	0	1	2	2	1
6	16	21	A=[b1+b1,b2];B=[b2]	M_B_A	1	1	0	1	2	1
6	22	21	A=[b1+b1,b2,b2]	C_A	2	3	0	0	2	1
6	21	21	A=[b1+b1+b2,b2]	C_A	1	1	0	0	1	0
7	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
7	37	21	B=[b1+b1,b2,b2]	M_B_A	1	0	3	3	2	1
7	29	21	A=[b1+b1];B=[b2,b2]	M_B_A	2	0	1	2	2	1
7	16	21	A=[b1+b1,b2];B=[b2]	M_B_A	1	1	0	1	2	1
7	19	21	A=[b1+b1,b2,b2]	C_A	1	3	0	0	2	1
7	21	21	A=[b1+b1,b2+b2]	C_A	1	1	0	0	0	2
8	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
8	6	21	B=[b1+b1,b2,b2]	M_B_A	2	0	3	3	2	1
8	33	21	A=[b2];B=[b1+b1,b2]	C_B	1	0	1	2	2	1
8	22	21	A=[b2];B=[b1+b1+b2]	M_B_A	1	0	0	1	1	0
8	21	21	A=[b1+b1+b2,b2]	C_A	1	1	0	0	1	0
9	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
9	6	21	B=[b1+b1,b2,b2]	M_B_A	2	0	3	3	2	1
9	29	21	A=[b2];B=[b1+b1,b2]	M_B_A	1	0	1	2	2	1
9	31	21	A=[b1+b1,b2];B=[b2]	C_A	1	1	0	1	2	1
9	22	21	A=[b1+b1+b2];B=[b2]	M_B_A	1	0	0	1	1	0
9	21	21	A=[b1+b1+b2,b2]	C_A	1	1	0	0	1	0
10	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
10	6	21	B=[b1+b1,b2,b2]	M_B_A	2	0	3	3	2	1
10	29	21	A=[b2];B=[b1+b1,b2]	M_B_A	1	0	1	2	2	1
10	16	21	A=[b1+b1,b2];B=[b2]	M_B_A	1	1	0	1	2	1
10	22	21	A=[b1+b1,b2,b2]	C_A	2	3	0	0	2	1
10	21	21	A=[b1+b1+b2,b2]	C_A	1	1	0	0	1	0
11	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
11	6	21	B=[b1+b1,b2,b2]	M_B_A	2	0	3	3	2	1
11	29	21	A=[b2];B=[b1+b1,b2]	M_B_A	1	0	1	2	2	1
11	16	21	A=[b1+b1,b2];B=[b2]	M_B_A	1	1	0	1	2	1
11	19	21	A=[b1+b1,b2,b2]	C_A	1	3	0	0	2	1
11	21	21	A=[b1+b1,b2+b2]	C_A	1	1	0	0	0	2
12	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
12	6	21	B=[b1+b1,b2,b2]	M_B_A	2	0	3	3	2	1
12	11	21	A=[b2];B=[b1+b1,b2]	M_B_A	1	0	1	2	2	1
12	25	21	A=[b2,b2];B=[b1+b1]	C_A	1	1	0	1	2	1
12	19	21	A=[b2+b2];B=[b1+b1]	M_B_A	1	0	0	1	0	2
12	21	21	A=[b1+b1,b2+b2]	C_A	1	1	0	0	0	2
13	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
13	6	21	B=[b1+b1,b2,b2]	M_B_A	2	0	3	3	2	1
13	11	21	A=[b2];B=[b1+b1,b2]	M_B_A	1	0	1	2	2	1
13	16	21	A=[b2,b2];B=[b1+b1]	M_B_A	1	1	0	1	2	1
13	22	21	A=[b1+b1,b2,b2]	C_A	2	3	0	0	2	1
13	21	21	A=[b1+b1+b2,b2]	C_A	1	1	0	0	1	0
14	1	21	B=[b1,b1,b2,b2]	C_B	1	0	6	4	4	0
14	6	21	B=[b1+b1,b2,b2]	M_B_A	2	0	3	3	2	1
14	11	21	A=[b2];B=[b1+b1,b2]	M_B_A	1	0	1	2	2	1
14	16	21	A=[b2,b2];B=[b1+b1]	M_B_A	1	1	0	1	2	1
14	19	21	A=[b1+b1,b2,b2]	C_A	1	3	0	0	2	1
14	21	21	A=[b1+b1,b2+b2]	C_A	1	1	0	0	0	2
15	2	21	B=[b1,b1,b2,b2]	C_B	4	0	6	4	4	0
15	44	21	B=[b1,b1+b2,b2]	C_B	1	0	3	3	2	1
15	31	21	B=[b1+b1+b2,b2]	M_B_A	1	0	1	2	1	0
15	22	21	A=[b1+b1+b2];B=[b2]	M_B_A	1	0	0	1	1	0
15	21	21	A=[b1+b1+b2,b2]	C_A	1	1	0	0	1	0
16	2	21	B=[b1,b1,b2,b2]	C_B	4	0	6	4	4	0
16	44	21	B=[b1,b1+b2,b2]	C_B	1	0	3	3	2	1
16	33	21	B=[b1+b1+b2,b2]	M_B_A	1	0	1	2	1	0
16	22	21	A=[b2];B=[b1+b1+b2]	M_B_A	1	0	0	1	1	0
16	21	21	A=[b1+b1+b2,b2]	C_A	1	1	0	0	1	0
17	2	21	B=[b1,b1,b2,b2]	C_B	4	0	6	4	4	0
17	45	21	B=[b1,b1+b2,b2]	C_B	1	0	3	3	2	1
17	32	21	B=[b1+b2,b1+b2]	M_B_A	2	0	1	2	0	2
17	23	21	A=[b1+b2];B=[b1+b2]	M_B_A	1	0	0	1	0	2
17	21	21	A=[b1+b2,b1+b2]	C_A	1	1	0	0	0	2
18	2	21	B=[b1,b1,b2,b2]	C_B	4	0	6	4	4	0
18	42	21	B=[b1,b1+b2,b2]	C_B	1	0	3	3	2	1
18	40	21	B=[b1,b1+b2+b2]	M_B_A	1	0	1	2	1	0
18	20	21	A=[b1];B=[b1+b2+b2]	M_B_A	1	0	0	1	1	0
18	21	21	A=[b1,b1+b2+b2]	C_A	1	1	0	0	1	0
19	2	21	B=[b1,b1,b2,b2]	C_B	4	0	6	4	4	0
19	42	21	B=[b1,b1+b2,b2]	C_B	1	0	3	3	2	1
19	24	21	B=[b1,b1+b2+b2]	M_B_A	1	0	1	2	1	0
19	20	21	A=[b1+b2+b2];B=[b1]	M_B_A	1	0	0	1	1	0
19	21	21	A=[b1,b1+b2+b2]	C_A	1	1	0	0	1	0
20	2	21	B=[b1,b1,b2,b2]	C_B	4	0	6	4	4	0
20	34	21	B=[b1,b1+b2,b2]	M_B_A	1	0	3	3	2	1
20	40	21	A=[b1];B=[b1+b2,b2]	C_B	1	0	1	2	2	1
20	20	21	A=[b1];B=[b1+b2+b2]	M_B_A	1	0	0	1	1	0
20	21	21	A=[b1,b1+b2+b2]	C_A	1	1	0	0	1	0
21	2	21	B=[b1,b1,b2,b2]	C_B	4	0	6	4	4	0
21	34	21	B=[b1,b1+b2,b2]	M_B_A	1	0	3	3	2	1
21	30	21	A=[b1];B=[b1+b2,b2]	M_B_A	1	0	1	2	2	1
21	31	21	A=[b1,b1+b2];B=[b2]	C_A	1	1	0	1	2	1
21	22	21	A=[b1+b1+b2];B=[b2]	M_B_A	1	0	0	1	1	0
21	21	21	A=[b1+b1+b2,b2]	C_A	1	1	0	0	1	0
22	2	21	B=[b1,b1,b2,b2]	C_B	4	0	6	4	4	0
22	34	21	B=[b1,b1+b2,b2]	M_B_A	1	0	3	3	2	1
22	30	21	A=[b1];B=[b1+b2,b2]	M_B_A	1	0	1	2	2	1
22	17	21	A=[b1,b1+b2];B=[b2]	M_B_A	1	1	0	1	2	1
22	22	21	A=[b1,b1+b2,b2]	C_A	1	3	0	0	2	1
