path_idx	node_id	LCA	label	event	count	C_A	m_2	m_4
0	1	6	A=[a1,a1,a2,a2]	C_A	1	6	4	0
0	7	6	A=[a1+a1,a2,a2]	C_A	2	3	2	1
0	6	6	A=[a1+a1+a2,a2]	C_A	1	1	1	0
1	1	6	A=[a1,a1,a2,a2]	C_A	1	6	4	0
1	4	6	A=[a1+a1,a2,a2]	C_A	1	3	2	1
1	6	6	A=[a1+a1,a2+a2]	C_A	1	1	0	2
2	2	6	A=[a1,a1,a2,a2]	C_A	4	6	4	0
2	7	6	A=[a1,a1+a2,a2]	C_A	1	3	2	1
2	6	6	A=[a1+a1+a2,a2]	C_A	1	1	1	0
3	2	6	A=[a1,a1,a2,a2]	C_A	4	6	4	0
3	8	6	A=[a1,a1+a2,a2]	C_A	1	3	2	1
3	6	6	A=[a1+a2,a1+a2]	C_A	1	1	0	2
4	2	6	A=[a1,a1,a2,a2]	C_A	4	6	4	0
4	5	6	A=[a1,a1+a2,a2]	C_A	1	3	2	1
4	6	6	A=[a1,a1+a2+a2]	C_A	1	1	1	0
5	3	6	A=[a1,a1,a2,a2]	C_A	1	6	4	0
5	4	6	A=[a1,a1,a2+a2]	C_A	1	3	2	1
5	6	6	A=[a1+a1,a2+a2]	C_A	1	1	0	2
6	3	6	A=[a1,a1,a2,a2]	C_A	1	6	4	0
6	5	6	A=[a1,a1,a2+a2]	C_A	2	3	2	1
6	6	6	A=[a1,a1+a2+a2]	C_A	1	1	1	0
