path_idx	node_id	LCA	label	event	count	C_A	C_B	M_A_B	m_1	m_2	m_3	m_4
0	1	12	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	2	2	2	0	0
0	16	12	A=[a1+a1];B=[b1,b1]	C_B	1	0	1	1	2	0	0	1
0	10	12	A=[a1+a1];B=[b1+b1]	M_A_B	1	0	0	1	0	0	0	2
0	12	12	B=[a1+a1,b1+b1]	C_B	1	0	1	0	0	0	0	2
1	1	12	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	2	2	2	0	0
1	7	12	A=[a1+a1];B=[b1,b1]	M_A_B	1	0	1	1	2	0	0	1
1	13	12	B=[a1+a1,b1,b1]	C_B	2	0	3	0	2	0	0	1
1	12	12	B=[a1+a1+b1,b1]	C_B	1	0	1	0	2	0	0	0
2	1	12	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	2	2	2	0	0
2	7	12	A=[a1+a1];B=[b1,b1]	M_A_B	1	0	1	1	2	0	0	1
2	10	12	B=[a1+a1,b1,b1]	C_B	1	0	3	0	2	0	0	1
2	12	12	B=[a1+a1,b1+b1]	C_B	1	0	1	0	0	0	0	2
3	2	12	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	2	2	2	0	0
3	16	12	A=[a1,a1];B=[b1+b1]	C_A	1	1	0	2	0	2	0	1
3	10	12	A=[a1+a1];B=[b1+b1]	M_A_B	1	0	0	1	0	0	0	2
3	12	12	B=[a1+a1,b1+b1]	C_B	1	0	1	0	0	0	0	2
4	2	12	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	2	2	2	0	0
4	5	12	A=[a1,a1];B=[b1+b1]	M_A_B	2	1	0	2	0	2	0	1
4	15	12	A=[a1];B=[a1,b1+b1]	C_B	1	0	1	1	0	2	0	1
4	11	12	A=[a1];B=[a1+b1+b1]	M_A_B	1	0	0	1	0	2	0	0
4	12	12	B=[a1,a1+b1+b1]	C_B	1	0	1	0	0	2	0	0
5	2	12	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	2	2	2	0	0
5	5	12	A=[a1,a1];B=[b1+b1]	M_A_B	2	1	0	2	0	2	0	1
5	9	12	A=[a1];B=[a1,b1+b1]	M_A_B	1	0	1	1	0	2	0	1
5	10	12	B=[a1,a1,b1+b1]	C_B	1	0	3	0	0	2	0	1
5	12	12	B=[a1+a1,b1+b1]	C_B	1	0	1	0	0	0	0	2
6	2	12	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	2	2	2	0	0
6	5	12	A=[a1,a1];B=[b1+b1]	M_A_B	2	1	0	2	0	2	0	1
6	9	12	A=[a1];B=[a1,b1+b1]	M_A_B	1	0	1	1	0	2	0	1
6	11	12	B=[a1,a1,b1+b1]	C_B	2	0	3	0	0	2	0	1
6	12	12	B=[a1,a1+b1+b1]	C_B	1	0	1	0	0	2	0	0
7	3	12	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	2	2	2	0	0
7	4	12	A=[a1];B=[a1,b1,b1]	C_B	2	0	3	1	2	2	0	0
7	15	12	A=[a1];B=[a1+b1,b1]	C_B	1	0	1	1	1	1	1	0
7	11	12	A=[a1];B=[a1+b1+b1]	M_A_B	1	0	0	1	0	2	0	0
7	12	12	B=[a1,a1+b1+b1]	C_B	1	0	1	0	0	2	0	0
8	3	12	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	2	2	2	0	0
8	4	12	A=[a1];B=[a1,b1,b1]	C_B	2	0	3	1	2	2	0	0
8	8	12	A=[a1];B=[a1+b1,b1]	M_A_B	1	0	1	1	1	1	1	0
8	13	12	B=[a1,a1+b1,b1]	C_B	1	0	3	0	1	1	1	0
8	12	12	B=[a1+a1+b1,b1]	C_B	1	0	1	0	2	0	0	0
9	3	12	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	2	2	2	0	0
9	4	12	A=[a1];B=[a1,b1,b1]	C_B	2	0	3	1	2	2	0	0
9	8	12	A=[a1];B=[a1+b1,b1]	M_A_B	1	0	1	1	1	1	1	0
9	14	12	B=[a1,a1+b1,b1]	C_B	1	0	3	0	1	1	1	0
9	12	12	B=[a1+b1,a1+b1]	C_B	1	0	1	0	0	0	2	0
10	3	12	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	2	2	2	0	0
10	4	12	A=[a1];B=[a1,b1,b1]	C_B	2	0	3	1	2	2	0	0
10	8	12	A=[a1];B=[a1+b1,b1]	M_A_B	1	0	1	1	1	1	1	0
10	11	12	B=[a1,a1+b1,b1]	C_B	1	0	3	0	1	1	1	0
10	12	12	B=[a1,a1+b1+b1]	C_B	1	0	1	0	0	2	0	0
11	3	12	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	2	2	2	0	0
11	5	12	A=[a1];B=[a1,b1,b1]	C_B	1	0	3	1	2	2	0	0
11	15	12	A=[a1];B=[a1,b1+b1]	C_B	1	0	1	1	0	2	0	1
11	11	12	A=[a1];B=[a1+b1+b1]	M_A_B	1	0	0	1	0	2	0	0
11	12	12	B=[a1,a1+b1+b1]	C_B	1	0	1	0	0	2	0	0
12	3	12	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	2	2	2	0	0
12	5	12	A=[a1];B=[a1,b1,b1]	C_B	1	0	3	1	2	2	0	0
12	9	12	A=[a1];B=[a1,b1+b1]	M_A_B	1	0	1	1	0	2	0	1
12	10	12	B=[a1,a1,b1+b1]	C_B	1	0	3	0	0	2	0	1
12	12	12	B=[a1+a1,b1+b1]	C_B	1	0	1	0	0	0	0	2
13	3	12	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	2	2	2	0	0
13	5	12	A=[a1];B=[a1,b1,b1]	C_B	1	0	3	1	2	2	0	0
13	9	12	A=[a1];B=[a1,b1+b1]	M_A_B	1	0	1	1	0	2	0	1
