path_idx	node_id	LCA	label	event	count	C_A	C_B	M_A_B	m_2	m_4
0	1	43	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
0	44	43	A=[a1+a1,a2,a2]	C_A	2	3	0	3	2	1
0	43	43	A=[a1+a1+a2,a2]	C_A	1	1	0	2	1	0
1	1	43	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
1	41	43	A=[a1+a1,a2,a2]	C_A	1	3	0	3	2	1
1	43	43	A=[a1+a1,a2+a2]	C_A	1	1	0	2	0	2
2	2	43	A=[a1,a1,a2,a2]	C_A	4	6	0	4	4	0
2	44	43	A=[a1,a1+a2,a2]	C_A	1	3	0	3	2	1
2	43	43	A=[a1+a1+a2,a2]	C_A	1	1	0	2	1	0
3	2	43	A=[a1,a1,a2,a2]	C_A	4	6	0	4	4	0
3	45	43	A=[a1,a1+a2,a2]	C_A	1	3	0	3	2	1
3	43	43	A=[a1+a2,a1+a2]	C_A	1	1	0	2	0	2
4	2	43	A=[a1,a1,a2,a2]	C_A	4	6	0	4	4	0
4	42	43	A=[a1,a1+a2,a2]	C_A	1	3	0	3	2	1
4	43	43	A=[a1,a1+a2+a2]	C_A	1	1	0	2	1	0
5	3	43	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
5	41	43	A=[a1,a1,a2+a2]	C_A	1	3	0	3	2	1
5	43	43	A=[a1+a1,a2+a2]	C_A	1	1	0	2	0	2
6	3	43	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
6	42	43	A=[a1,a1,a2+a2]	C_A	2	3	0	3	2	1
6	43	43	A=[a1,a1+a2+a2]	C_A	1	1	0	2	1	0
7	1	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
7	44	21	A=[a1+a1,a2,a2]	C_A	2	3	0	3	2	1
7	31	21	A=[a1+a1+a2,a2]	M_A_B	1	1	0	2	1	0
7	22	21	A=[a2];B=[a1+a1+a2]	M_A_B	1	0	0	1	1	0
7	21	21	B=[a1+a1+a2,a2]	C_B	1	0	1	0	1	0
8	1	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
8	44	21	A=[a1+a1,a2,a2]	C_A	2	3	0	3	2	1
8	33	21	A=[a1+a1+a2,a2]	M_A_B	1	1	0	2	1	0
8	22	21	A=[a1+a1+a2];B=[a2]	M_A_B	1	0	0	1	1	0
8	21	21	B=[a1+a1+a2,a2]	C_B	1	0	1	0	1	0
9	1	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
9	41	21	A=[a1+a1,a2,a2]	C_A	1	3	0	3	2	1
9	39	21	A=[a1+a1,a2+a2]	M_A_B	1	1	0	2	0	2
9	19	21	A=[a2+a2];B=[a1+a1]	M_A_B	1	0	0	1	0	2
9	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
10	1	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
10	41	21	A=[a1+a1,a2,a2]	C_A	1	3	0	3	2	1
10	25	21	A=[a1+a1,a2+a2]	M_A_B	1	1	0	2	0	2
10	19	21	A=[a1+a1];B=[a2+a2]	M_A_B	1	0	0	1	0	2
