hetA	fixed	hetB	hetAB	probability
0	0	0	0	0.0802929160837052
0	0	0	1	0.007638799902626013
0	0	0	2	0.0031456123774675376
0	0	1	0	0.049659099034445174
0	0	1	1	0.006060615438993525
0	0	1	2	0.002435740588925381
0	0	2	0	0.027955175222004032
0	0	2	1	0.003223971148839782
0	0	2	2	0.0012274561634823939
0	1	0	0	0.03916667972450558
0	1	1	0	0.01985037694079258
0	1	2	0	0.010573791765973355
0	2	0	0	0.025554707490010913
0	2	1	0	0.011678527852275508
0	2	2	0	0.00546560696804416
1	0	0	0	0.06096392990373974
1	0	0	1	0.007018158764025662
1	0	0	2	0.002562303263919077
1	0	1	0	0.034085879883337306
1	0	1	1	0.006312795467990448
1	0	1	2	0.0024053221020030836
1	0	2	0	0.017025412456703887
1	0	2	1	0.003621922169230421
1	0	2	2	0.0013837413586634223
1	1	0	0	0.01908544727064308
1	1	1	0	0.007854838013035883
1	1	2	0	0.0035159336852774573
1	2	0	0	0.010036891069957046
1	2	1	0	0.004084976237114526
1	2	2	0	0.0017194915914314605
2	0	0	0	0.04495502525435119
2	0	0	1	0.004457904906917419
2	0	0	2	0.001396327530174639
2	0	1	0	0.023322032663698387
2	0	1	1	0.004205339208460942
2	0	1	2	0.001470436082270846
2	0	2	0	0.010644589041076697
2	0	2	1	0.0024898086643920067
2	0	2	2	0.0009201210002667916
2	1	0	0	0.012218031733512704
2	1	1	0	0.004271378915043824
2	1	2	0	0.0015542816513613874
2	2	0	0	0.0051917136658273366
2	2	1	0	0.0018457936227007797
2	2	2	0	0.0006714935367977298
3+	0	0	0	0.07237207103713408
3+	0	0	1	0.005419747221337187
3+	0	0	2	0.0012828776767117708
3+	0	1	0	0.034800434209871195
3+	0	1	1	0.004960092804306999
3+	0	1	2	0.0014048750177836121
3+	0	2	0	0.014284188748575774
3+	0	2	1	0.0028439875397935667
3+	0	2	2	0.0009114323685388667
3+	1	0	0	0.01965603815351534
3+	1	1	0	0.006285588007237032
3+	1	2	0	0.0019268820422116799
3+	2	0	0	0.00701308550870005
3+	2	1	0	0.0021898816698271914
3+	2	2	0	0.0006674904665473595
0	3+	0	0	0.03629906432166902
0	3+	1	0	0.015194863074274326
0	3+	2	0	0.00620773749348455
1	3+	0	0	0.012203927853950886
1	3+	1	0	0.004885966452638994
1	3+	2	0	0.0019133712737794926
2	3+	0	0	0.004991282807443424
2	3+	1	0	0.0018671900580814263
2	3+	2	0	0.0006851852500024593
0	0	3+	0	0.033986098638430606
0	0	3+	1	0.002959964669024321
0	0	3+	2	0.0009432987441471904
0	1	3+	0	0.012968816798312174
0	2	3+	0	0.0055326432214065704
1	0	3+	0	0.017324963591963005
1	0	3+	1	0.0033871540303641763
1	0	3+	2	0.001168645463674775
1	1	3+	0	0.003681222331550278
1	2	3+	0	0.0015138059285979139
2	0	3+	0	0.009091483678199841
2	0	3+	1	0.0023119952634779502
2	0	3+	2	0.0008283812170076631
2	1	3+	0	0.0012064922841389346
2	2	3+	0	0.0004707885681685779
0	0	0	3+	0.003283004419380439
0	0	1	3+	0.002407131664669472
0	0	2	3+	0.001115817474512469
1	0	0	3+	0.0024241023993099436
1	0	1	3+	0.0022156822129734827
1	0	2	3+	0.0012119789997901455
2	0	0	3+	0.001138986615949071
2	0	1	3+	0.0012245357961424251
2	0	2	3+	0.0007593061657942424
3+	3+	0	0	0.004544642666788945
3+	3+	1	0	0.001522446868240268
3+	3+	2	0	0.0005000692009875796
3+	0	3+	0	0.009216563963600155
3+	0	3+	1	0.0023746229072728053
3+	0	3+	2	0.0008305772200372687
3+	1	3+	0	0.0009328687770855104
3+	2	3+	0	0.0003183041493366179
3+	0	0	3+	0.0006918152859369808
3+	0	1	3+	0.000859622333880844
3+	0	2	3+	0.0006037826395274837
0	3+	3+	0	0.0044358874349517685
1	3+	3+	0	0.001261396321659003
2	3+	3+	0	0.00040469300832003674
0	0	3+	3+	0.0006450047277611337
1	0	3+	3+	0.000825190043633961
2	0	3+	3+	0.0005913612884098224
3+	3+	3+	0	0.000246268856248677
3+	0	3+	3+	0.000550923655902924
*	*	*	*	0.9999999999999999
