hetA	fixed	hetB	hetAB	probability
0	0	0	0	0.09578320072442775
0	0	0	1	0.008408808369578354
0	0	0	2	0.0030453234412517725
0	0	1	0	0.0496924277921021
0	0	1	1	0.005970772461781809
0	0	1	2	0.0021522836460371483
0	0	2	0	0.02373793889114892
0	0	2	1	0.0028716714847071656
0	0	2	2	0.001002804955913966
0	1	0	0	0.039889635654797494
0	1	1	0	0.0168313995251811
0	1	2	0	0.007564674332070599
0	2	0	0	0.02417926984617627
0	2	1	0	0.009550967813259568
0	2	2	0	0.003858266267965138
1	0	0	0	0.07687069962410943
1	0	0	1	0.007235183586771815
1	0	0	2	0.002312134221152098
1	0	1	0	0.03651263982456502
1	0	1	1	0.005841647975069801
1	0	1	2	0.001999059668911964
1	0	2	0	0.015625084045923388
1	0	2	1	0.003047192383211483
1	0	2	2	0.001074148365383479
1	1	0	0	0.022001913633981348
1	1	1	0	0.007620933439335255
1	1	2	0	0.0028434618145940535
1	2	0	0	0.01053323433450933
1	2	1	0	0.0037188983927393445
1	2	2	0	0.0013501173273115764
2	0	0	0	0.055915320028512946
2	0	0	1	0.004446433603614294
2	0	0	2	0.0012108099609284297
2	0	1	0	0.025014839196954537
2	0	1	1	0.0037644950821432046
2	0	1	2	0.0011780245783505926
2	0	2	0	0.009896357035536313
2	0	2	1	0.0020273299624173455
2	0	2	2	0.0006913433020249128
2	1	0	0	0.014579654405812537
2	1	1	0	0.004460331816034688
2	1	2	0	0.0013941597103139353
2	2	0	0	0.005721663751077174
2	2	1	0	0.001802477167404086
2	2	2	0	0.0005756110741714518
3+	0	0	0	0.08724015410400426
3+	0	0	1	0.005402578846530122
3+	0	0	2	0.0011211322362277357
3+	0	1	0	0.036967499764639894
3+	0	1	1	0.004445957775789218
3+	0	1	2	0.0011244582582507854
3+	0	2	0	0.013423762262660129
3+	0	2	1	0.0023105978522726493
3+	0	2	2	0.0006787895842065537
3+	1	0	0	0.0230972588005406
3+	1	1	0	0.006670890848293379
3+	1	2	0	0.0018421705103531857
3+	2	0	0	0.007776073063683067
3+	2	1	0	0.002208946379174164
3+	2	2	0	0.0006112485452018975
0	3+	0	0	0.03257532430663487
0	3+	1	0	0.012195638111770282
0	3+	2	0	0.004449084614820194
1	3+	0	0	0.011967448595579161
1	3+	1	0	0.004291181933636208
1	3+	2	0	0.0015026354299425178
2	3+	0	0	0.005139552155735597
2	3+	1	0	0.0017377246058771223
2	3+	2	0	0.0005747956375154739
0	0	3+	0	0.023697425115908166
0	0	3+	1	0.0023634607966352833
0	0	3+	2	0.0007125849659689711
0	1	3+	0	0.007587184483884651
0	2	3+	0	0.0031782901311533523
1	0	3+	0	0.013056608380822038
1	0	3+	1	0.0025689135279827677
1	0	3+	2	0.0008475298560741713
1	1	3+	0	0.0023413644138561354
1	2	3+	0	0.0009522398827735371
2	0	3+	0	0.006955077539567922
2	0	3+	1	0.0016935217268422738
2	0	3+	2	0.0005834703486191162
2	1	3+	0	0.0008425118143982648
2	2	3+	0	0.00032487661947654296
0	0	0	3+	0.002875502646764408
0	0	1	3+	0.0019678802354060818
0	0	2	3+	0.0008602050544164533
1	0	0	3+	0.0019885949684052967
1	0	1	3+	0.0017132268319186364
1	0	2	3+	0.0008927403488762468
2	0	0	3+	0.000887983036861488
2	0	1	3+	0.0009074966328028768
2	0	2	3+	0.0005402421231594356
3+	3+	0	0	0.004753040964595723
3+	3+	1	0	0.0014592725580609145
3+	3+	2	0	0.00043842407582531107
3+	0	3+	0	0.007228726499804772
3+	0	3+	1	0.0017101140940233989
3+	0	3+	2	0.000572919860079537
3+	1	3+	0	0.0007442802086392308
3+	2	3+	0	0.0002472984050929661
3+	0	0	3+	0.0005233908324318581
3+	0	1	3+	0.0006183553838733646
3+	0	2	3+	0.00041766072754628736
0	3+	3+	0	0.002663849306312749
1	3+	3+	0	0.0008317582547969216
2	3+	3+	0	0.00028829650271444685
0	0	3+	3+	0.0004682062871405879
1	0	3+	3+	0.0005785309044447073
2	0	3+	3+	0.00040351833927146363
3+	3+	3+	0	0.00018788156574300885
3+	0	3+	3+	0.00036599500443101896
*	*	*	*	1.0000000000000067
