hetA	fixed	hetB	hetAB	probability
0	0	0	0	0.07538156034935278
0	0	0	1	0.007200769623616273
0	0	0	2	0.0029832623721702555
0	0	1	0	0.04639118066444483
0	0	1	1	0.005591539413491156
0	0	1	2	0.002251366353737157
0	0	2	0	0.02600258212216135
0	0	2	1	0.0029287376123599677
0	0	2	2	0.0011152526679968633
0	1	0	0	0.03589733101629155
0	1	1	0	0.018182941621957587
0	1	2	0	0.00972894509572691
0	2	0	0	0.02410488518795692
0	2	1	0	0.01120457611468928
0	2	2	0	0.005375077512267978
1	0	0	0	0.055775036037466384
1	0	0	1	0.00650065544326777
1	0	0	2	0.0023887642423683735
1	0	1	0	0.031007069594133862
1	0	1	1	0.005790760654325327
1	0	1	2	0.0022201217135473777
1	0	2	0	0.015410346431155183
1	0	2	1	0.0033121797466757565
1	0	2	2	0.0012828228834436753
1	1	0	0	0.017082187656424393
1	1	1	0	0.0070291140176152195
1	1	2	0	0.003176245917265161
1	2	0	0	0.009299744733295947
1	2	1	0	0.0038790401162001357
1	2	2	0	0.0016944911553335646
2	0	0	0	0.041656089818504
2	0	0	1	0.004242020766702173
2	0	0	2	0.0013344991732321411
2	0	1	0	0.021559468606668627
2	0	1	1	0.004026765701866786
2	0	1	2	0.0014239562527776231
2	0	2	0	0.009802314747238276
2	0	2	1	0.0024116155561689618
2	0	2	2	0.0009161605123768522
2	1	0	0	0.011100267743127813
2	1	1	0	0.003869825889411998
2	1	2	0	0.0014169977989321031
2	2	0	0	0.004833544513327493
2	2	1	0	0.0017564639191570365
2	2	2	0	0.0006643669347748616
3+	0	0	0	0.08153356060011827
3+	0	0	1	0.0065686523356079
3+	0	0	2	0.00159354576659897
3+	0	1	0	0.039953209903944714
3+	0	1	1	0.0062476250951057355
3+	0	1	2	0.0018373436510160527
3+	0	2	0	0.016695228516406577
3+	0	2	1	0.003733844904016341
3+	0	2	2	0.001268299389322076
3+	1	0	0	0.022408077954152353
3+	1	1	0	0.007291485418650077
3+	1	2	0	0.0022874211565132863
3+	2	0	0	0.008381326252221703
3+	2	1	0	0.002696406535042519
3+	2	2	0	0.000853001013516686
0	3+	0	0	0.04207208621066785
0	3+	1	0	0.01855773469161548
0	3+	2	0	0.008120489812348829
1	3+	0	0	0.013840400735247213
1	3+	1	0	0.005890902140038498
1	3+	2	0	0.002500406120010637
2	3+	0	0	0.00540986521802219
2	3+	1	0	0.0021515320945000374
2	3+	2	0	0.0008594392952640303
0	0	3+	0	0.031585241397200425
0	0	3+	1	0.0026761384281552177
0	0	3+	2	0.0008614815981679612
0	1	3+	0	0.012140554513507373
0	2	3+	0	0.005716360063709798
1	0	3+	0	0.01563786448831886
1	0	3+	1	0.00311349242638787
1	0	3+	2	0.001123872397636375
1	1	3+	0	0.003429713755085762
1	2	3+	0	0.0016083404125581888
2	0	3+	0	0.008258158652098127
2	0	3+	1	0.0022754321813351717
2	0	3+	2	0.0008816138149492095
2	1	3+	0	0.001134243829919751
2	2	3+	0	0.0005114959056018607
0	0	0	3+	0.0031349185444645294
0	0	1	3+	0.002237128924957442
0	0	2	3+	0.0010186815293244736
1	0	0	3+	0.0022615914570596335
1	0	1	3+	0.002036324417214262
1	0	2	3+	0.001120181655335152
2	0	0	3+	0.001062071862383926
2	0	1	3+	0.0011530345400332757
2	0	2	3+	0.000741216152406696
3+	3+	0	0	0.005769490519277665
3+	3+	1	0	0.0020008348002229503
3+	3+	2	0	0.0006925481142141671
3+	0	3+	0	0.01069513783908127
3+	0	3+	1	0.0032437655505173635
3+	0	3+	2	0.0012799639331926224
3+	1	3+	0	0.0011264530644392035
3+	2	3+	0	0.0004309949097825727
3+	0	0	3+	0.0007704617456901208
3+	0	1	3+	0.001018416007403905
3+	0	2	3+	0.0007809257592131108
0	3+	3+	0	0.006622401167209413
1	3+	3+	0	0.001940658217125718
2	3+	3+	0	0.0006115531993453466
0	0	3+	3+	0.0006024932615973921
1	0	3+	3+	0.0008203742841781936
2	0	3+	3+	0.0006542700268842294
3+	3+	3+	0	0.0003906134015169149
3+	0	3+	3+	0.0008746604363379928
*	*	*	*	0.9999999999999952
