hetA	fixed	hetB	hetAB	probability
0	0	0	0	0.033145548030326766
0	0	0	1	8.767285015862248e-05
0	0	0	2	3.929780531099871e-05
0	0	1	0	0.024391189894248603
0	0	1	1	0.00018173329368594457
0	0	1	2	7.928628734109514e-05
0	0	2	0	0.017037543167781236
0	0	2	1	0.00019416042453979332
0	0	2	2	8.155203963865104e-05
0	1	0	0	0.049804759807680926
0	1	1	0	0.029375353768066114
0	1	2	0	0.017022563733548966
0	2	0	0	0.0453799170729983
0	2	1	0	0.023380725530388592
0	2	2	0	0.011798674908290143
1	0	0	0	0.024391189894248603
1	0	0	1	0.00018173329368594457
1	0	0	2	7.928628734109514e-05
1	0	1	0	0.017861927376037815
1	0	1	1	0.00038123617431929394
1	0	1	2	0.00016221849493226547
1	0	2	0	0.012295282146707042
1	0	2	1	0.0004124529090715234
1	0	2	2	0.0001695157146985295
1	1	0	0	0.029375353768066114
1	1	1	0	0.016324223633647002
1	1	2	0	0.008864551433624567
1	2	0	0	0.023380725530388592
1	2	1	0	0.011475727629807315
1	2	2	0	0.005486010497829422
2	0	0	0	0.017037543167781236
2	0	0	1	0.00019416042453979332
2	0	0	2	8.155203963865104e-05
2	0	1	0	0.012295282146707042
2	0	1	1	0.00041245290907152574
2	0	1	2	0.0001695157146985295
2	0	2	0	0.008234529569046684
2	0	2	1	0.00045202026770256446
2	0	2	2	0.000180314078450265
2	1	0	0	0.017022563733548966
2	1	1	0	0.008864551433624567
2	1	2	0	0.004445925104185405
2	2	0	0	0.011798674908290143
2	2	1	0	0.005486010497829422
2	2	2	0	0.002468588415071446
3+	0	0	0	0.02710252304369498
3+	0	0	1	0.0003169715276671133
3+	0	0	2	0.00011410647780790039
3+	0	1	0	0.018632522082564655
3+	0	1	1	0.0006889821915510924
3+	0	1	2	0.00024603135558429114
3+	0	2	0	0.011555242564214273
3+	0	2	1	0.0007716713066173244
3+	0	2	2	0.00027245553346957337
3+	1	0	0	0.02220591969783209
3+	1	1	0	0.010525178594805673
3+	1	2	0	0.004607875478823638
3+	2	0	0	0.012350982374132513
3+	2	1	0	0.005193199054958263
3+	2	2	0	0.002078124563966017
0	3+	0	0	0.07835927675929114
0	3+	1	0	0.0356663268464351
0	3+	2	0	0.015673353372807536
1	3+	0	0	0.0356663268464351
1	3+	1	0	0.015936333233242013
1	3+	2	0	0.0068558088767082005
2	3+	0	0	0.015673353372807536
2	3+	1	0	0.0068558088767082005
2	3+	2	0	0.002884978528833293
0	0	3+	0	0.02710252304369498
0	0	3+	1	0.0003169715276671133
0	0	3+	2	0.00011410647780790039
0	1	3+	0	0.02220591969783209
0	2	3+	0	0.012350982374132513
1	0	3+	0	0.018632522082564655
1	0	3+	1	0.0006889821915510947
1	0	3+	2	0.00024603135558429114
1	1	3+	0	0.010525178594805673
1	2	3+	0	0.005193199054958263
2	0	3+	0	0.011555242564214273
2	0	3+	1	0.0007716713066173223
2	0	3+	2	0.00027245553346957337
2	1	3+	0	0.004607875478823638
2	2	3+	0	0.002078124563966017
0	0	0	3+	4.447847372946595e-05
0	0	1	3+	8.852511439267491e-05
0	0	2	3+	8.926295432932704e-05
1	0	0	3+	8.852511439267491e-05
1	0	1	3+	0.00017839939660936957
1	0	2	3+	0.00018243725633888645
2	0	0	3+	8.926295432932704e-05
2	0	1	3+	0.00018243725633888472
2	0	2	3+	0.00018956310110443408
3+	3+	0	0	0.01185079653793153
3+	3+	1	0	0.00488898560239881
3+	3+	2	0	0.001948964622119631
3+	0	3+	0	0.013160000138145556
3+	0	3+	1	0.0013459642223449175
3+	0	3+	2	0.000448330944160824
3+	1	3+	0	0.0034722493238777963
3+	2	3+	0	0.0013750957771885564
3+	0	0	3+	0.00011393926082610417
3+	0	1	3+	0.00024032433313138368
3+	0	2	3+	0.0002588915600112568
0	3+	3+	0	0.01185079653793153
1	3+	3+	0	0.00488898560239881
2	3+	3+	0	0.001948964622119631
0	0	3+	3+	0.00011393926082610417
1	0	3+	3+	0.00024032433313138368
2	0	3+	3+	0.0002588915600112568
3+	3+	3+	0	0.0011964186196369297
3+	0	3+	3+	0.0003850093030001167
*	*	*	*	1.0000000000000009
