path_idx	node	event	event_count	C_ancestor	C_derived	Ms	Es	hetA	fixed	hetB	hetAB
0	0	C_ancestor	1	1	1	0	1	2	0	2	0
0	1	C_derived	1	0	1	0	1	0	1	2	0
0	4	E	1	0	0	0	1	0	2	0	0
0	8	C_ancestor	1	1	0	0	0	0	2	0	0
0	LCA	LCA	0	0	0	0	0	0	0	0	0
1	0	C_ancestor	1	1	1	0	1	2	0	2	0
1	1	E	1	0	1	0	1	0	1	2	0
1	5	C_ancestor	2	3	0	0	0	0	1	2	0
1	9	C_ancestor	1	1	0	0	0	0	0	2	0
1	LCA	LCA	0	0	0	0	0	0	0	0	0
2	0	C_ancestor	1	1	1	0	1	2	0	2	0
2	1	E	1	0	1	0	1	0	1	2	0
2	5	C_ancestor	1	3	0	0	0	0	1	2	0
2	8	C_ancestor	1	1	0	0	0	0	2	0	0
2	LCA	LCA	0	0	0	0	0	0	0	0	0
3	0	C_derived	1	1	1	0	1	2	0	2	0
3	2	C_ancestor	1	1	0	0	1	2	1	0	0
3	4	E	1	0	0	0	1	0	2	0	0
3	8	C_ancestor	1	1	0	0	0	0	2	0	0
3	LCA	LCA	0	0	0	0	0	0	0	0	0
4	0	C_derived	1	1	1	0	1	2	0	2	0
4	2	E	1	1	0	0	1	2	1	0	0
4	6	C_ancestor	1	3	0	0	0	2	1	0	0
4	8	C_ancestor	1	1	0	0	0	0	2	0	0
4	LCA	LCA	0	0	0	0	0	0	0	0	0
5	0	C_derived	1	1	1	0	1	2	0	2	0
5	2	E	1	1	0	0	1	2	1	0	0
5	6	C_ancestor	2	3	0	0	0	2	1	0	0
5	10	C_ancestor	1	1	0	0	0	2	0	0	0
5	LCA	LCA	0	0	0	0	0	0	0	0	0
6	0	E	1	1	1	0	1	2	0	2	0
6	3	C_ancestor	1	6	0	0	0	2	0	2	0
6	5	C_ancestor	2	3	0	0	0	0	1	2	0
6	9	C_ancestor	1	1	0	0	0	0	0	2	0
6	LCA	LCA	0	0	0	0	0	0	0	0	0
7	0	E	1	1	1	0	1	2	0	2	0
7	3	C_ancestor	1	6	0	0	0	2	0	2	0
7	5	C_ancestor	1	3	0	0	0	0	1	2	0
7	8	C_ancestor	1	1	0	0	0	0	2	0	0
7	LCA	LCA	0	0	0	0	0	0	0	0	0
8	0	E	1	1	1	0	1	2	0	2	0
8	3	C_ancestor	4	6	0	0	0	2	0	2	0
8	7	C_ancestor	1	3	0	0	0	1	0	1	1
8	9	C_ancestor	1	1	0	0	0	0	0	2	0
8	LCA	LCA	0	0	0	0	0	0	0	0	0
9	0	E	1	1	1	0	1	2	0	2	0
9	3	C_ancestor	4	6	0	0	0	2	0	2	0
9	7	C_ancestor	1	3	0	0	0	1	0	1	1
9	11	C_ancestor	1	1	0	0	0	0	0	0	2
9	LCA	LCA	0	0	0	0	0	0	0	0	0
10	0	E	1	1	1	0	1	2	0	2	0
10	3	C_ancestor	4	6	0	0	0	2	0	2	0
10	7	C_ancestor	1	3	0	0	0	1	0	1	1
10	10	C_ancestor	1	1	0	0	0	2	0	0	0
10	LCA	LCA	0	0	0	0	0	0	0	0	0
11	0	E	1	1	1	0	1	2	0	2	0
11	3	C_ancestor	1	6	0	0	0	2	0	2	0
11	6	C_ancestor	1	3	0	0	0	2	1	0	0
11	8	C_ancestor	1	1	0	0	0	0	2	0	0
11	LCA	LCA	0	0	0	0	0	0	0	0	0
12	0	E	1	1	1	0	1	2	0	2	0
12	3	C_ancestor	1	6	0	0	0	2	0	2	0
12	6	C_ancestor	2	3	0	0	0	2	1	0	0
12	10	C_ancestor	1	1	0	0	0	2	0	0	0
12	LCA	LCA	0	0	0	0	0	0	0	0	0
