hetA	fixed	hetB	hetAB	probability
0	0	0	0	0.07640738650478891
0	0	0	1	0.007988993187089578
0	0	0	2	0.003289779940009778
0	0	1	0	0.04681871370134349
0	0	1	1	0.006404093386588661
0	0	1	2	0.0025742987242003187
0	0	2	0	0.025988596241638188
0	0	2	1	0.0034354807142483166
0	0	2	2	0.0013090847276780709
0	1	0	0	0.03433545845421149
0	1	1	0	0.017023386000172756
0	1	2	0	0.00892938753266213
0	2	0	0	0.021912688002764396
0	2	1	0	0.00989903019804468
0	2	2	0	0.004588363418311338
1	0	0	0	0.06375613986103663
1	0	0	1	0.007401843998984719
1	0	0	2	0.002705859388392483
1	0	1	0	0.03565684773218822
1	0	1	1	0.006732470266726963
1	0	1	2	0.0025663183510556144
1	0	2	0	0.01774397107189038
1	0	2	1	0.003900195559904652
1	0	2	2	0.0014898894588132833
1	1	0	0	0.019343105242548612
1	1	1	0	0.007751348356337663
1	1	2	0	0.0033608116619931157
1	2	0	0	0.009838746481930885
1	2	1	0	0.003922210628231374
1	2	2	0	0.0016151197923652872
2	0	0	0	0.04835805898047397
2	0	0	1	0.004725817267137537
2	0	0	2	0.001485110797128368
2	0	1	0	0.025272298856851734
2	0	1	1	0.004514921364342337
2	0	1	2	0.0015807415757827141
2	0	2	0	0.011605249634928896
2	0	2	1	0.002703718206807783
2	0	2	2	0.0009988188111581043
2	1	0	0	0.013326595822709602
2	1	1	0	0.004638707079644202
2	1	2	0	0.0016587595141169718
2	2	0	0	0.0055907991661594035
2	2	1	0	0.0019681914382375905
2	2	2	0	0.0007037471888216647
3+	0	0	0	0.07887689458848865
3+	0	0	1	0.005753424378528878
3+	0	0	2	0.0013677599487293291
3+	0	1	0	0.03836768310311342
3+	0	1	1	0.005344496587650075
3+	0	1	2	0.0015168828037430077
3+	0	2	0	0.015953921888000447
3+	0	2	1	0.003108893552967472
3+	0	2	2	0.0009960003690345082
3+	1	0	0	0.022159242214118455
3+	1	1	0	0.007181244307175021
3+	1	2	0	0.002219138153483161
3+	2	0	0	0.007968514303367237
3+	2	1	0	0.0025083164380511544
3+	2	2	0	0.000766840262820697
0	3+	0	0	0.03070814993467022
0	3+	1	0	0.012791230084189822
0	3+	2	0	0.00520284016783152
1	3+	0	0	0.011592829944386845
1	3+	1	0	0.004593886939918579
1	3+	2	0	0.0017809145607072287
2	3+	0	0	0.005233445139691317
2	3+	1	0	0.0019437325648657133
2	3+	2	0	0.0007068296566728784
0	0	3+	0	0.030979067406218586
0	0	3+	1	0.003172373914157447
0	0	3+	2	0.0010127866593955953
0	1	3+	0	0.01082008677289796
0	2	3+	0	0.004592275015160102
1	0	3+	0	0.017802963250410545
1	0	3+	1	0.0036785276471875267
1	0	3+	2	0.0012683113987588222
1	1	3+	0	0.0033808532225653373
1	2	3+	0	0.0013765145073216436
2	0	3+	0	0.009908612257656435
2	0	3+	1	0.002540675085126877
2	0	3+	2	0.0009080714566417451
2	1	3+	0	0.0012268465076838465
2	2	3+	0	0.00047346056107599316
0	0	0	3+	0.0034338203890944274
0	0	1	3+	0.0025462439461576697
0	0	2	3+	0.0011929098551549874
1	0	0	3+	0.0025638355789800588
1	0	1	3+	0.002369112915709619
1	0	2	3+	0.0013092479367283923
2	0	0	3+	0.0012169782427890116
2	0	1	3+	0.0013223424632310965
2	0	2	3+	0.0008281930715561027
3+	3+	0	0	0.005137399904107942
3+	3+	1	0	0.0017269780374145338
3+	3+	2	0	0.000567681736472106
3+	0	3+	0	0.01044404926582776
3+	0	3+	1	0.002644980783602549
3+	0	3+	2	0.0009214664353602853
3+	1	3+	0	0.001061671955592175
3+	2	3+	0	0.0003599885687997628
3+	0	0	3+	0.0007461551566315117
3+	0	1	3+	0.000937568478193207
3+	0	2	3+	0.0006655047407346792
0	3+	3+	0	0.0036908494210576848
1	3+	3+	0	0.001153978573782577
2	3+	3+	0	0.0004093170472050378
0	0	3+	3+	0.0006974145980552515
1	0	3+	3+	0.0009015458576649704
2	0	3+	3+	0.0006524501957587969
3+	3+	3+	0	0.00027736056383487195
3+	0	3+	3+	0.0006152624355860725
*	*	*	*	1.0000000000000004
