hetA	fixed	hetB	hetAB	probability
0	0	0	0	0.07640738650478891
0	0	0	1	0.007988993187089578
0	0	0	2	0.003289779940009778
0	0	1	0	0.04681871370134349
0	0	1	1	0.006404093386588661
0	0	1	2	0.0025742987242003187
0	0	2	0	0.025988596241638188
0	0	2	1	0.003435480714248316
0	0	2	2	0.001309084727678071
0	1	0	0	0.03433545845421149
0	1	1	0	0.017023386000172752
0	1	2	0	0.00892938753266213
0	2	0	0	0.021912688002764396
0	2	1	0	0.00989903019804468
0	2	2	0	0.004588363418311338
1	0	0	0	0.06375613986103663
1	0	0	1	0.007401843998984718
1	0	0	2	0.0027058593883924824
1	0	1	0	0.03565684773218822
1	0	1	1	0.006732470266726963
1	0	1	2	0.0025663183510556144
1	0	2	0	0.01774397107189041
1	0	2	1	0.0039001955599046604
1	0	2	2	0.0014898894588132835
1	1	0	0	0.019343105242548612
1	1	1	0	0.007751348356337663
1	1	2	0	0.003360811661993116
1	2	0	0	0.009838746481930885
1	2	1	0	0.003922210628231374
1	2	2	0	0.0016151197923652875
2	0	0	0	0.04835805898047397
2	0	0	1	0.004725817267137537
2	0	0	2	0.001485110797128368
2	0	1	0	0.025272298856851765
2	0	1	1	0.004514921364342345
2	0	1	2	0.0015807415757827143
2	0	2	0	0.0116052496349289
2	0	2	1	0.0027037182068077835
2	0	2	2	0.0009988188111581045
2	1	0	0	0.013326595822709602
2	1	1	0	0.004638707079644202
2	1	2	0	0.0016587595141169718
2	2	0	0	0.0055907991661594035
2	2	1	0	0.001968191438237591
2	2	2	0	0.0007037471888216648
3+	0	0	0	0.07887689458848865
3+	0	0	1	0.005753424378528878
3+	0	0	2	0.0013677599487293291
3+	0	1	0	0.03836768310311338
3+	0	1	1	0.005344496587650065
3+	0	1	2	0.0015168828037430077
3+	0	2	0	0.015953921888000412
3+	0	2	1	0.003108893552967463
3+	0	2	2	0.0009960003690345082
3+	1	0	0	0.022159242214118455
3+	1	1	0	0.007181244307175025
3+	1	2	0	0.0022191381534831557
3+	2	0	0	0.007968514303367258
3+	2	1	0	0.0025083164380511544
3+	2	2	0	0.0007668402628206962
0	3+	0	0	0.03070814993467022
0	3+	1	0	0.012791230084189822
0	3+	2	0	0.00520284016783152
1	3+	0	0	0.011592829944386845
1	3+	1	0	0.004593886939918579
1	3+	2	0	0.0017809145607072287
2	3+	0	0	0.005233445139691317
2	3+	1	0	0.0019437325648657064
2	3+	2	0	0.0007068296566728766
0	0	3+	0	0.030979067406218586
0	0	3+	1	0.0031723739141574503
0	0	3+	2	0.0010127866593955953
0	1	3+	0	0.01082008677289796
0	2	3+	0	0.004592275015160123
1	0	3+	0	0.017802963250410517
1	0	3+	1	0.0036785276471875197
1	0	3+	2	0.0012683113987588214
1	1	3+	0	0.0033808532225653443
1	2	3+	0	0.0013765145073216401
2	0	3+	0	0.009908612257656407
2	0	3+	1	0.0025406750851268683
2	0	3+	2	0.0009080714566417451
2	1	3+	0	0.0012268465076838465
2	2	3+	0	0.0004734605610759914
0	0	0	3+	0.0034338203890944274
0	0	1	3+	0.0025462439461576697
0	0	2	3+	0.0011929098551549874
1	0	0	3+	0.0025638355789800588
1	0	1	3+	0.002369112915709626
1	0	2	3+	0.001309247936728354
2	0	0	3+	0.0012169782427890116
2	0	1	3+	0.0013223424632310618
2	0	2	3+	0.0008281930715561062
3+	3+	0	0	0.005137399904107887
3+	3+	1	0	0.0017269780374145616
3+	3+	2	0	0.0005676817364721198
3+	0	3+	0	0.01044404926582776
3+	0	3+	1	0.002644980783602563
3+	0	3+	2	0.0009214664353602853
3+	1	3+	0	0.0010616719555922027
3+	2	3+	0	0.00035998856879973506
3+	0	0	3+	0.0007461551566315117
3+	0	1	3+	0.0009375684781932625
3+	0	2	3+	0.000665504740734707
0	3+	3+	0	0.0036908494210576848
1	3+	3+	0	0.001153978573782577
2	3+	3+	0	0.0004093170472050378
0	0	3+	3+	0.0006974145980552238
1	0	3+	3+	0.0009015458576649704
2	0	3+	3+	0.0006524501957588247
3+	3+	3+	0	0.00027736056383487195
3+	0	3+	3+	0.0006152624355860725
*	*	*	*	1.0
