hetA	fixed	hetB	hetAB	probability
0	0	0	0	0.07153794732337732
0	0	0	1	0.007521278657308402
0	0	0	2	0.0031160485311689306
0	0	1	0	0.043598071663339365
0	0	1	1	0.005897484912671916
0	0	1	2	0.0023752169912623247
0	0	2	0	0.024090254765164416
0	0	2	1	0.0031135678620224077
0	0	2	2	0.0011869435530753865
0	1	0	0	0.03137859728702827
0	1	1	0	0.01555464915828355
0	1	2	0	0.008202579155382313
0	2	0	0	0.02062704362344453
0	2	1	0	0.009484195026869143
0	2	2	0	0.0045107734773374595
1	0	0	0	0.05813838965396394
1	0	0	1	0.00684706604763141
1	0	0	2	0.002518730512918666
1	0	1	0	0.03231069191115469
1	0	1	1	0.006164656132151858
1	0	1	2	0.002364130141404172
1	0	2	0	0.01598789211088445
1	0	2	1	0.0035590825355466004
1	0	2	2	0.0013783252633480427
1	1	0	0	0.01722506498606833
1	1	1	0	0.006899475448542205
1	1	2	0	0.0030227842501847828
1	2	0	0	0.00906204220551667
1	2	1	0	0.0037030774598411772
1	2	2	0	0.0015847029234422679
2	0	0	0	0.044693812483981014
2	0	0	1	0.004492510225937634
2	0	0	2	0.0014170376415748702
2	0	1	0	0.023292028630554847
2	0	1	1	0.0043171650542457585
2	0	1	2	0.0015276718538566574
2	0	2	0	0.010649914341972799
2	0	2	1	0.0026146195971705195
2	0	2	2	0.0009924082469307271
2	1	0	0	0.012071276799617565
2	1	1	0	0.004191872232397724
2	1	2	0	0.0015100839934077837
2	2	0	0	0.005188422100893709
2	2	1	0	0.0018664990961890573
2	2	2	0	0.0006939821298195672
3+	0	0	0	0.08893899053491128
3+	0	0	1	0.0069786131752766385
3+	0	0	2	0.0016977172272472363
3+	0	1	0	0.044096089131680366
3+	0	1	1	0.006737646712251282
3+	0	1	2	0.001981868483033655
3+	0	2	0	0.018680272404837196
3+	0	2	1	0.004086152532352462
3+	0	2	2	0.0013848006342106383
3+	1	0	0	0.025394420745597238
3+	1	1	0	0.008402949784520816
3+	1	2	0	0.0026722022069412925
3+	2	0	0	0.00962420270290077
3+	2	1	0	0.0031354707794047434
3+	2	2	0	0.0010007114162863097
0	3+	0	0	0.03547180995754365
0	3+	1	0	0.01557966667316478
0	3+	2	0	0.006793414211209076
1	3+	0	0	0.012982680476602892
1	3+	1	0	0.005470178803165797
1	3+	2	0	0.0023005193411361653
2	3+	0	0	0.005600394597159039
2	3+	1	0	0.002206313530563768
2	3+	2	0	0.0008718584906951109
0	0	3+	0	0.0287015681720319
0	0	3+	1	0.0028610911046969972
0	0	3+	2	0.0009236609377968781
0	1	3+	0	0.010126928143981057
0	2	3+	0	0.00475209833736772
1	0	3+	0	0.015985158042816888
1	0	3+	1	0.00337563579938634
1	0	3+	2	0.001218886798851359
1	1	3+	0	0.00314603297577341
1	2	3+	0	0.0014627884583860405
2	0	3+	0	0.008964172979672821
2	0	3+	1	0.002499404482995843
2	0	3+	2	0.0009664511267556087
2	1	3+	0	0.0011543809503478733
2	2	3+	0	0.0005140815844336911
0	0	0	3+	0.003274454978192634
0	0	1	3+	0.0023615476783642106
0	0	2	3+	0.001086175143995758
1	0	0	3+	0.0023870990472049936
1	0	1	3+	0.0021714592743971167
1	0	2	3+	0.0012061176587218753
2	0	0	3+	0.00113169065568966
2	0	1	3+	0.0012408112080752806
2	0	2	3+	0.0008051360413435758
3+	3+	0	0	0.006610359066848315
3+	3+	1	0	0.0023031868616945617
3+	3+	2	0	0.0007982322193490765
3+	0	3+	0	0.012178504477624363
3+	0	3+	1	0.003627329048479594
3+	0	3+	2	0.0014241103497798155
3+	1	3+	0	0.0013162774248800246
3+	2	3+	0	0.0005023437049097579
3+	0	0	3+	0.0008272633838813381
3+	0	1	3+	0.0011048814893109549
3+	0	2	3+	0.0008557886062745962
0	3+	3+	0	0.005512496878872897
1	3+	3+	0	0.0017620387558297812
2	3+	3+	0	0.0006086697409887348
0	0	3+	3+	0.0006497388060299758
1	0	3+	3+	0.0008936468731122749
2	0	3+	3+	0.0007194165939222036
3+	3+	3+	0	0.00044603846924451407
3+	0	3+	3+	0.0009738331157770341
*	*	*	*	0.9999999999996665
