path_idx	node	event	event_count	C_ancestor	C_derived	Ms	Es	hetA	fixed	hetB	hetAB
0	0	C_derived	1	1	1	2	0	2	0	2	0
0	1	C_ancestor	1	1	0	1	0	0	1	2	0
0	4	M	1	0	0	1	0	0	2	0	0
0	9	C_ancestor	1	1	0	0	0	0	2	0	0
0	LCA	LCA	0	0	0	0	0	0	0	0	0
1	0	C_derived	1	1	1	2	0	2	0	2	0
1	1	M	1	1	0	1	0	0	1	2	0
1	5	C_ancestor	2	3	0	0	0	0	1	2	0
1	10	C_ancestor	1	1	0	0	0	0	0	2	0
1	LCA	LCA	0	0	0	0	0	0	0	0	0
2	0	C_derived	1	1	1	2	0	2	0	2	0
2	1	M	1	1	0	1	0	0	1	2	0
2	5	C_ancestor	1	3	0	0	0	0	1	2	0
2	9	C_ancestor	1	1	0	0	0	0	2	0	0
2	LCA	LCA	0	0	0	0	0	0	0	0	0
3	0	C_ancestor	1	1	1	2	0	2	0	2	0
3	2	C_derived	1	0	1	2	0	2	1	0	0
3	4	M	1	0	0	1	0	0	2	0	0
3	9	C_ancestor	1	1	0	0	0	0	2	0	0
3	LCA	LCA	0	0	0	0	0	0	0	0	0
4	0	C_ancestor	1	1	1	2	0	2	0	2	0
4	2	M	2	0	1	2	0	2	1	0	0
4	6	C_ancestor	1	1	0	1	0	2	1	0	0
4	11	M	1	0	0	1	0	2	0	0	0
4	15	C_ancestor	1	1	0	0	0	2	0	0	0
4	LCA	LCA	0	0	0	0	0	0	0	0	0
5	0	C_ancestor	1	1	1	2	0	2	0	2	0
5	2	M	2	0	1	2	0	2	1	0	0
5	6	M	1	1	0	1	0	2	1	0	0
5	12	C_ancestor	1	3	0	0	0	2	1	0	0
5	9	C_ancestor	1	1	0	0	0	0	2	0	0
5	LCA	LCA	0	0	0	0	0	0	0	0	0
6	0	C_ancestor	1	1	1	2	0	2	0	2	0
6	2	M	2	0	1	2	0	2	1	0	0
6	6	M	1	1	0	1	0	2	1	0	0
6	12	C_ancestor	2	3	0	0	0	2	1	0	0
6	15	C_ancestor	1	1	0	0	0	2	0	0	0
6	LCA	LCA	0	0	0	0	0	0	0	0	0
7	0	M	2	1	1	2	0	2	0	2	0
7	3	C_ancestor	2	3	0	1	0	2	0	2	0
7	7	C_ancestor	1	1	0	1	0	1	0	1	1
7	11	M	1	0	0	1	0	2	0	0	0
7	15	C_ancestor	1	1	0	0	0	2	0	0	0
7	LCA	LCA	0	0	0	0	0	0	0	0	0
8	0	M	2	1	1	2	0	2	0	2	0
8	3	C_ancestor	2	3	0	1	0	2	0	2	0
8	7	M	1	1	0	1	0	1	0	1	1
8	13	C_ancestor	1	3	0	0	0	1	0	1	1
8	10	C_ancestor	1	1	0	0	0	0	0	2	0
8	LCA	LCA	0	0	0	0	0	0	0	0	0
9	0	M	2	1	1	2	0	2	0	2	0
9	3	C_ancestor	2	3	0	1	0	2	0	2	0
9	7	M	1	1	0	1	0	1	0	1	1
9	13	C_ancestor	1	3	0	0	0	1	0	1	1
9	16	C_ancestor	1	1	0	0	0	0	0	0	2
9	LCA	LCA	0	0	0	0	0	0	0	0	0
10	0	M	2	1	1	2	0	2	0	2	0
