hetA	fixed	hetB	hetAB	probability
2	0	1	0	0.00986568156276249
0	0	0	0	0.03604291240251284
0	0	1	0	0.026517623214090236
0	0	2	0	0.018550443213055934
0	0	0	1	5.760516738084489e-05
0	0	1	1	0.00011940728267086564
0	0	2	1	0.00012757248947781253
0	0	0	2	2.5820498005302957e-05
0	0	1	2	5.209480295240936e-05
0	0	2	2	5.358350829400712e-05
0	1	0	0	0.05615729268868366
0	1	1	0	0.03339454383647608
0	1	2	0	0.01951384327578336
0	2	0	0	0.05208764803482029
0	2	1	0	0.02699336594190108
0	2	2	0	0.01370633952740855
1	0	1	0	0.01639922131776895
1	0	2	0	0.011348056975833349
1	0	0	1	0.00011940728267086564
1	0	1	1	0.0002504900159349507
1	0	2	1	0.00027100087222891326
1	0	0	2	5.209480295240936e-05
1	0	1	2	0.00010658514621042996
1	0	2	2	0.00011137976125134526
1	1	0	0	0.028695410518027313
1	1	1	0	0.016239072559535203
1	1	2	0	0.009000055645892218
1	2	0	0	0.023686600615454134
1	2	1	0	0.011776662862323265
1	2	2	0	0.005707820331059108
2	0	0	0	0.013624303126123501
2	0	2	0	0.006663481062761554
2	0	0	1	0.0001275724894778125
2	0	1	1	0.00027100087222891326
2	0	2	1	0.00029699847938592064
2	0	0	2	5.358350829400712e-05
2	0	1	2	0.00011137976125134526
2	0	2	2	0.00011847479181362944
2	1	0	0	0.014517112480914982
2	1	1	0	0.00774035007445356
2	1	2	0	0.004000089369153061
2	2	0	0	0.01055409902095359
2	2	1	0	0.005001496315393351
2	2	2	0	0.0022982323107191304
*	*	*	*	0.48240780981634274
