hetA	fixed	hetB	hetAB	probability
2	0	1	0	0.03181598003766557
0	0	0	0	0.03589965932440157
0	0	1	0	0.022194779805791303
0	0	2	0	0.012089363024680635
0	0	0	1	0.005398812077427601
0	0	1	1	0.005651945907962819
0	0	2	1	0.0035907628063472207
0	0	0	2	0.001980476568727301
0	0	1	2	0.002355894068516163
0	0	2	2	0.0015812050396986623
0	1	0	0	0.019912081180022648
0	1	1	0	0.010626212717478264
0	1	2	0	0.005915014013160527
0	2	0	0	0.0167436754712427
0	2	1	0	0.008462331159615416
0	2	2	0	0.0042869874316517195
1	0	1	0	0.03142150908456994
1	0	2	0	0.014542189548579575
1	0	0	1	0.008758940263097238
1	0	1	1	0.008777273322654738
1	0	2	1	0.005422900498870075
1	0	0	2	0.002859150101930234
1	0	1	2	0.0033661034903592728
1	0	2	2	0.0022630790819109722
1	1	0	0	0.013877940840887575
1	1	1	0	0.005004727324374639
1	1	2	0	0.001946587089027102
1	2	0	0	0.006707781581585201
1	2	1	0	0.002588490140044932
1	2	2	0	0.001055699407234234
2	0	0	0	0.0626463177480306
2	0	2	0	0.013666607373416954
2	0	0	1	0.007956187651156289
2	0	1	1	0.0075930954265677674
2	0	2	1	0.0045233498118036515
2	0	0	2	0.002290925658112898
2	0	1	2	0.0026410076826049373
2	0	2	2	0.0017639206443650502
2	1	0	0	0.01376792346054068
2	1	1	0	0.004292915398334277
2	1	2	0	0.001324295531623015
2	2	0	0	0.00526287755110462
2	2	1	0	0.00165881512405739
2	2	2	0	0.0005277834473995918
*	*	*	*	0.42701357491863345
