hetA	fixed	hetB	hetAB	probability
2	0	1	0	0.02546920344573712
0	0	0	0	0.1079070952476851
0	0	1	0	0.06133238463388167
0	0	2	0	0.03172246379200038
0	0	0	1	0.014767551333909041
0	0	1	1	0.01008794603818676
0	0	2	1	0.004780972784086298
0	0	0	2	0.006260968562692544
0	0	1	2	0.004031297220508211
0	0	2	2	0.0017228889595913663
0	1	0	0	0.02966675099004142
0	1	1	0	0.013107274860750336
0	1	2	0	0.0064523800850122826
0	2	0	0	0.015605641642899489
0	2	1	0	0.006282267078167424
0	2	2	0	0.0026936860921124906
1	0	1	0	0.04204498235801534
1	0	2	0	0.01945688084882482
1	0	0	1	0.010892434457929423
1	0	1	1	0.008607693928272389
1	0	2	1	0.004447013215132095
1	0	0	2	0.004120531685065934
1	0	1	2	0.0032800601963995225
1	0	2	2	0.0016368997507145804
1	1	0	0	0.016648106381143304
1	1	1	0	0.005639940243455694
1	1	2	0	0.0021605117927219596
1	2	0	0	0.007035986166604426
1	2	1	0	0.0024059589900713592
1	2	2	0	0.0008746313410270558
2	0	0	0	0.05348074945389153
2	0	2	0	0.010741016896732672
2	0	0	1	0.0057087577327183826
2	0	1	1	0.0048295602990062235
2	0	2	1	0.002604984086791458
2	0	0	2	0.001832105731498777
2	0	1	2	0.0016873804242908555
2	0	2	2	0.0009403599105240036
2	1	0	0	0.010832078451309712
2	1	1	0	0.0032154701795992866
2	1	2	0	0.0009977072325618537
2	2	0	0	0.003899495433842358
2	2	1	0	0.0011886863375869968
2	2	2	0	0.0003720202290839912
*	*	*	*	0.573472776522078
