hetA	fixed	hetB	hetAB	probability
2	0	1	0	0.025452215443350294
0	0	0	0	0.11488191670433585
0	0	1	0	0.06665301268940692
0	0	2	0	0.034962141877536525
0	0	0	1	0.01500827367196443
0	0	1	1	0.01028222796438348
0	0	2	1	0.004830784530640791
0	0	0	2	0.006252379646085253
0	0	1	2	0.004001094957386317
0	0	2	2	0.0016871307390272051
0	1	0	0	0.034709667917222096
0	1	1	0	0.01592874300640056
0	1	2	0	0.00799350463297609
0	2	0	0	0.018457520908389813
0	2	1	0	0.007569042111413406
0	2	2	0	0.0032814410504485203
1	0	1	0	0.043021308593974045
1	0	2	0	0.01995819555622225
1	0	0	1	0.011104665082918658
1	0	1	1	0.008764785420948286
1	0	2	1	0.0044626838457227066
1	0	0	2	0.004092572727346114
1	0	1	2	0.003222695754470689
1	0	2	2	0.0015735553130881252
1	1	0	0	0.01737460918512379
1	1	1	0	0.006048191994178679
1	1	2	0	0.0023795803983850537
1	2	0	0	0.007347739667453142
1	2	1	0	0.0025439835882327005
1	2	2	0	0.0009370298996216587
2	0	0	0	0.05330273935267156
2	0	2	0	0.010714329451511026
2	0	0	1	0.00575686228308554
2	0	1	1	0.004837869277710006
2	0	2	1	0.0025581353221103297
2	0	0	2	0.00179577853522008
2	0	1	2	0.0016228176090439276
2	0	2	2	0.0008758711604533215
2	1	0	0	0.010788314668406003
2	1	1	0	0.0032201927158995386
2	1	2	0	0.0010094088743355528
2	2	0	0	0.0038194297570696913
2	2	1	0	0.0011575996199188606
2	2	2	0	0.0003611935072464728
*	*	*	*	0.6066032370133355
