path_idx	node	event	event_count	C_ancestor	C_derived	Ms	Es	hetA	fixed	hetB	hetAB
0	0	E	1	1	1	2	1	2	0	2	0
0	1	C_derived	1	0	6	0	0	2	0	2	0
0	5	C_derived	2	0	3	0	0	0	1	2	0
0	13	C_derived	1	0	1	0	0	0	0	2	0
0	LCA	LCA	0	0	0	0	0	0	0	0	0
1	0	E	1	1	1	2	1	2	0	2	0
1	1	C_derived	1	0	6	0	0	2	0	2	0
1	5	C_derived	1	0	3	0	0	0	1	2	0
1	14	C_derived	1	0	1	0	0	0	2	0	0
1	LCA	LCA	0	0	0	0	0	0	0	0	0
2	0	E	1	1	1	2	1	2	0	2	0
2	1	C_derived	4	0	6	0	0	2	0	2	0
2	6	C_derived	1	0	3	0	0	1	0	1	1
2	13	C_derived	1	0	1	0	0	0	0	2	0
2	LCA	LCA	0	0	0	0	0	0	0	0	0
3	0	E	1	1	1	2	1	2	0	2	0
3	1	C_derived	4	0	6	0	0	2	0	2	0
3	6	C_derived	1	0	3	0	0	1	0	1	1
3	15	C_derived	1	0	1	0	0	0	0	0	2
3	LCA	LCA	0	0	0	0	0	0	0	0	0
4	0	E	1	1	1	2	1	2	0	2	0
4	1	C_derived	4	0	6	0	0	2	0	2	0
4	6	C_derived	1	0	3	0	0	1	0	1	1
4	16	C_derived	1	0	1	0	0	2	0	0	0
4	LCA	LCA	0	0	0	0	0	0	0	0	0
5	0	E	1	1	1	2	1	2	0	2	0
5	1	C_derived	1	0	6	0	0	2	0	2	0
5	7	C_derived	1	0	3	0	0	2	1	0	0
5	14	C_derived	1	0	1	0	0	0	2	0	0
5	LCA	LCA	0	0	0	0	0	0	0	0	0
6	0	E	1	1	1	2	1	2	0	2	0
6	1	C_derived	1	0	6	0	0	2	0	2	0
6	7	C_derived	2	0	3	0	0	2	1	0	0
6	16	C_derived	1	0	1	0	0	2	0	0	0
6	LCA	LCA	0	0	0	0	0	0	0	0	0
7	0	M	2	1	1	2	1	2	0	2	0
7	2	E	1	3	0	1	1	2	0	2	0
7	1	C_derived	1	0	6	0	0	2	0	2	0
7	5	C_derived	2	0	3	0	0	0	1	2	0
7	13	C_derived	1	0	1	0	0	0	0	2	0
7	LCA	LCA	0	0	0	0	0	0	0	0	0
8	0	M	2	1	1	2	1	2	0	2	0
8	2	E	1	3	0	1	1	2	0	2	0
8	1	C_derived	1	0	6	0	0	2	0	2	0
8	5	C_derived	1	0	3	0	0	0	1	2	0
8	14	C_derived	1	0	1	0	0	0	2	0	0
8	LCA	LCA	0	0	0	0	0	0	0	0	0
9	0	M	2	1	1	2	1	2	0	2	0
9	2	E	1	3	0	1	1	2	0	2	0
9	1	C_derived	4	0	6	0	0	2	0	2	0
9	6	C_derived	1	0	3	0	0	1	0	1	1
9	13	C_derived	1	0	1	0	0	0	0	2	0
9	LCA	LCA	0	0	0	0	0	0	0	0	0
10	0	M	2	1	1	2	1	2	0	2	0
10	2	E	1	3	0	1	1	2	0	2	0
10	1	C_derived	4	0	6	0	0	2	0	2	0
10	6	C_derived	1	0	3	0	0	1	0	1	1
10	15	C_derived	1	0	1	0	0	0	0	0	2
10	LCA	LCA	0	0	0	0	0	0	0	0	0
11	0	M	2	1	1	2	1	2	0	2	0
11	2	E	1	3	0	1	1	2	0	2	0
