hetA	fixed	hetB	hetAB	probability
2	0	1	0	15101875393786735540985134809155594401057287524338891936550060885440946951856942590419112431625350802759716329351808915349423420588210393430696235084085402671999464646522873751963/630334962678701925677250970516693751043202383061387843125999816094843120276576030427587235527333523303775429356364645414655494199145603639018205713598233844035241559203960084640800
0	0	0	0	18526694676300525612038558788392123407/167896329786160558758341417624593596376
0	0	1	0	6654160214336511768406121644132789007542310419221796737357117617499877051420162026883048737881649053212452977277322290853862402838563011/105164048165152916327559298185440633163302953849655381942804833715420947991363308899016629176733485910825716949609479051166868310631148800
0	0	2	0	6237684792097373910407517789966035502114843712887124906187388610448737348056101387651524049150128967094157744977188180413935432558253456111579455233059/188179078672032630855188328436958354173770258518439055417683614137896661132259931443529656444854005977744166889445463803657110492305094101358539726158400
0	0	0	1	10579846477835598325712969709499161051345779/744905665939289064284040307365518606952039960
0	0	1	1	55044687039510305082101272672193936711802118629335918130807/5726781318562091308144993801557028003702493300271149003976805
0	0	2	1	1586398872140480048818676600436625987697538653661148133632759501/350653451287422247750491758041682204848868195828135425111949417280
0	0	0	2	2949425132741248558093192375375224750362998361/489405825662139373941644907095250818618228902788
0	0	1	2	9515968779068648860551327327233041806552519129555207872/2477578880434964150617630862311440709212437409766313213475
0	0	2	2	1452373488656888090405704435625643673368121425968031163604706996/891971119099223476163205982068407076468981936612091966436088093575
0	1	0	0	1164728851447833016728082446330004634891262347536788033022846378389078626538052804896714579649461877/35477051243947496249590270113325543702356705028555471696596443924028888207211928408343089828085267060
0	1	1	0	6977499521970411497905797915186715005287788237669681677849695767298927992069311337862623279934943987323693146515404064827/467035120463912290941912169258029208073831307768452688953099115327697985231065803811263281969875728602425445835157547395200
0	1	2	0	107865675923540795147529751210944653977014363286938385904716772371788901743710902531751406466038450402609664304484667173763228627/14365859931179574289130848959582597630773440575372686964902568982270728696029541174920583184314087763145830630403772699790407758520
0	2	0	0	5292380412041578204965867570000992146597528410124359436023128539149147945784939462875750536284188465012607/298618165941507958727876231735691920590546522737123683551710832239595540647589200572032544841606872366787960
0	2	1	0	68430960596831499424858821175956091815764322486757465055646900050126467945338884176024282620415566097238739816406030921/9395945246620027428607071200001802718505369061216686940628752509563695062803551724379826945707202250876337540268027837360
0	2	2	0	22285415244820403485510011754305381173492649592026992210447952419978555924211776716420333353712406136566740078341285152719874583849503/7000291043000679695901904530558711329379390165047520753583585925720937089359355592884747503632597865292153352920157867213964804877698080
1	0	1	0	38704006730231550726487947488134311148512027098666073672515128467015838457486807450693252500165882155513374419047427357189516110118458786577/962385655710781742413420293947277579250460220857441489740511476196739709398181594262960497590211981321068726548722425095523504707866374674496
1	0	2	0	1708655130559618236052953842309499001703336973749580062411519994090607930610530486903325542935540138163183571828365208280694236836785165659889417486595826843371450956319634260663367790293/91590009216242322076737894588761573049662236114433265404257959457204579012239241406147521170074267744510686322465831643979836513388444946146567604126203178563278379371397099878955340223800
1	0	0	1	365458969781769910343233370268997698485169752864355655165368/35174568075704304123153805332598122482741670786270606841709635
1	0	1	1	5301928533210411983451066071695684610555/650969853443996996420785281666524141860248
1	0	2	1	32209956491437673372019149520962191121469431177576558156712149/7696792329856357150056930662260339892015641033362160125268971024
1	0	0	2	130323026700345621447158925750235258644178236562777923337/33147089781645468137351731814993198674374194065258270739475
1	0	1	2	389087420182649709102466198642476098070208657/125277093955515595309350023254878793118058448200
1	0	2	2	82434516725655997548183602857396833699817275959039441362549190581/53396271576980508566921909570453369498122147378791306570939285888996
1	1	0	0	139212727659105136458078198907430445882402364908031143725989559464966367080941360165186213751095041481400114139/8606374562629150253763816077132406547549509779059924539706731674559670533562496104713773885054702943300761927925
1	1	1	0	337003989088237545571885395226374792653318266288622376928947337173815701885699291938319584299076618006642909098397342863/60170131559806500924063691209351881400001418933539306727044232771991736741099566604259502793164720891024948567530870745078
1	1	2	0	471605926155263671506547202569196711423034840846634490787887878630376262373348568116322284451920231140989155643919407429949167/213207650225729741234415385150127637568652886221993296077466290949597885610365888537977816656484938850580307905127499833618127600
1	2	0	0	9208177698035766999608042806991096658384805612149352045473397314522038596201260841266619248500352051066100601100427/1315343659695469574492538114612251195022158671709861015191717572492403879825079376387702120850052947037650897083823872
1	2	1	0	2813747342049694451458425230217732984701455643991654111604667531308059962380393655659659767360085719980773557071/1150510841133727076299147890839660747342172624045537307324781051983093550379328249920529364891117070610860235513020
1	2	2	0	4458325093515529933254548133263652573537692454020271510436926575040382287797391007304086196406285725935829402578415656524234466121428097813/4877262976848659665218342187702659270200164080269290054310719673683307903760287714392358539591812971928529619374736539347399202097785386845040
