path_idx	node	event	event_count	C_ancestor	C_derived	Ms	Es	hetA	fixed	hetB	hetAB
0	0	M	2	1	1	2	0	2	0	2	0
0	1	M	1	3	0	1	0	2	0	2	0
0	4	C_ancestor	1	6	0	0	0	2	0	2	0
0	7	C_ancestor	2	3	0	0	0	0	1	2	0
0	12	C_ancestor	1	1	0	0	0	0	0	2	0
0	LCA	LCA	0	0	0	0	0	0	0	0	0
1	0	M	2	1	1	2	0	2	0	2	0
1	1	M	1	3	0	1	0	2	0	2	0
1	4	C_ancestor	1	6	0	0	0	2	0	2	0
1	7	C_ancestor	1	3	0	0	0	0	1	2	0
1	13	C_ancestor	1	1	0	0	0	0	2	0	0
1	LCA	LCA	0	0	0	0	0	0	0	0	0
2	0	M	2	1	1	2	0	2	0	2	0
2	1	M	1	3	0	1	0	2	0	2	0
2	4	C_ancestor	4	6	0	0	0	2	0	2	0
2	9	C_ancestor	1	3	0	0	0	1	0	1	1
2	12	C_ancestor	1	1	0	0	0	0	0	2	0
2	LCA	LCA	0	0	0	0	0	0	0	0	0
3	0	M	2	1	1	2	0	2	0	2	0
3	1	M	1	3	0	1	0	2	0	2	0
3	4	C_ancestor	4	6	0	0	0	2	0	2	0
3	9	C_ancestor	1	3	0	0	0	1	0	1	1
3	14	C_ancestor	1	1	0	0	0	0	0	0	2
3	LCA	LCA	0	0	0	0	0	0	0	0	0
4	0	M	2	1	1	2	0	2	0	2	0
4	1	M	1	3	0	1	0	2	0	2	0
4	4	C_ancestor	4	6	0	0	0	2	0	2	0
4	9	C_ancestor	1	3	0	0	0	1	0	1	1
4	15	C_ancestor	1	1	0	0	0	2	0	0	0
4	LCA	LCA	0	0	0	0	0	0	0	0	0
5	0	M	2	1	1	2	0	2	0	2	0
5	1	M	1	3	0	1	0	2	0	2	0
5	4	C_ancestor	1	6	0	0	0	2	0	2	0
5	10	C_ancestor	1	3	0	0	0	2	1	0	0
5	13	C_ancestor	1	1	0	0	0	0	2	0	0
5	LCA	LCA	0	0	0	0	0	0	0	0	0
6	0	M	2	1	1	2	0	2	0	2	0
6	1	M	1	3	0	1	0	2	0	2	0
6	4	C_ancestor	1	6	0	0	0	2	0	2	0
6	10	C_ancestor	2	3	0	0	0	2	1	0	0
6	15	C_ancestor	1	1	0	0	0	2	0	0	0
6	LCA	LCA	0	0	0	0	0	0	0	0	0
7	0	M	2	1	1	2	0	2	0	2	0
7	1	C_ancestor	2	3	0	1	0	2	0	2	0
7	5	M	1	1	0	1	0	1	0	1	1
7	9	C_ancestor	1	3	0	0	0	1	0	1	1
7	12	C_ancestor	1	1	0	0	0	0	0	2	0
7	LCA	LCA	0	0	0	0	0	0	0	0	0
8	0	M	2	1	1	2	0	2	0	2	0
8	1	C_ancestor	2	3	0	1	0	2	0	2	0
8	5	M	1	1	0	1	0	1	0	1	1
8	9	C_ancestor	1	3	0	0	0	1	0	1	1
8	14	C_ancestor	1	1	0	0	0	0	0	0	2
8	LCA	LCA	0	0	0	0	0	0	0	0	0
9	0	M	2	1	1	2	0	2	0	2	0
9	1	C_ancestor	2	3	0	1	0	2	0	2	0
9	5	M	1	1	0	1	0	1	0	1	1
9	9	C_ancestor	1	3	0	0	0	1	0	1	1
9	15	C_ancestor	1	1	0	0	0	2	0	0	0
9	LCA	LCA	0	0	0	0	0	0	0	0	0
10	0	M	2	1	1	2	0	2	0	2	0
10	1	C_ancestor	2	3	0	1	0	2	0	2	0
10	5	C_ancestor	1	1	0	1	0	1	0	1	1
10	11	M	1	0	0	1	0	2	0	0	0
10	15	C_ancestor	1	1	0	0	0	2	0	0	0
10	LCA	LCA	0	0	0	0	0	0	0	0	0
11	0	M	2	1	1	2	0	2	0	2	0
11	1	C_ancestor	1	3	0	1	0	2	0	2	0
11	6	M	1	1	0	1	0	2	1	0	0
11	10	C_ancestor	1	3	0	0	0	2	1	0	0
11	13	C_ancestor	1	1	0	0	0	0	2	0	0
11	LCA	LCA	0	0	0	0	0	0	0	0	0
12	0	M	2	1	1	2	0	2	0	2	0
12	1	C_ancestor	1	3	0	1	0	2	0	2	0
12	6	M	1	1	0	1	0	2	1	0	0
12	10	C_ancestor	2	3	0	0	0	2	1	0	0
12	15	C_ancestor	1	1	0	0	0	2	0	0	0
12	LCA	LCA	0	0	0	0	0	0	0	0	0
13	0	M	2	1	1	2	0	2	0	2	0
13	1	C_ancestor	1	3	0	1	0	2	0	2	0
13	6	C_ancestor	1	1	0	1	0	2	1	0	0
13	11	M	1	0	0	1	0	2	0	0	0
13	15	C_ancestor	1	1	0	0	0	2	0	0	0
13	LCA	LCA	0	0	0	0	0	0	0	0	0
14	0	C_derived	1	1	1	2	0	2	0	2	0
14	2	M	1	1	0	1	0	0	1	2	0
14	7	C_ancestor	2	3	0	0	0	0	1	2	0
14	12	C_ancestor	1	1	0	0	0	0	0	2	0
14	LCA	LCA	0	0	0	0	0	0	0	0	0
15	0	C_derived	1	1	1	2	0	2	0	2	0
15	2	M	1	1	0	1	0	0	1	2	0
15	7	C_ancestor	1	3	0	0	0	0	1	2	0
15	13	C_ancestor	1	1	0	0	0	0	2	0	0
15	LCA	LCA	0	0	0	0	0	0	0	0	0
16	0	C_derived	1	1	1	2	0	2	0	2	0
16	2	C_ancestor	1	1	0	1	0	0	1	2	0
16	8	M	1	0	0	1	0	0	2	0	0
16	13	C_ancestor	1	1	0	0	0	0	2	0	0
16	LCA	LCA	0	0	0	0	0	0	0	0	0
17	0	C_ancestor	1	1	1	2	0	2	0	2	0
17	3	M	2	0	1	2	0	2	1	0	0
17	6	M	1	1	0	1	0	2	1	0	0
17	10	C_ancestor	1	3	0	0	0	2	1	0	0
17	13	C_ancestor	1	1	0	0	0	0	2	0	0
17	LCA	LCA	0	0	0	0	0	0	0	0	0
18	0	C_ancestor	1	1	1	2	0	2	0	2	0
18	3	M	2	0	1	2	0	2	1	0	0
18	6	M	1	1	0	1	0	2	1	0	0
18	10	C_ancestor	2	3	0	0	0	2	1	0	0
18	15	C_ancestor	1	1	0	0	0	2	0	0	0
18	LCA	LCA	0	0	0	0	0	0	0	0	0
19	0	C_ancestor	1	1	1	2	0	2	0	2	0
19	3	M	2	0	1	2	0	2	1	0	0
19	6	C_ancestor	1	1	0	1	0	2	1	0	0
19	11	M	1	0	0	1	0	2	0	0	0
19	15	C_ancestor	1	1	0	0	0	2	0	0	0
19	LCA	LCA	0	0	0	0	0	0	0	0	0
20	0	C_ancestor	1	1	1	2	0	2	0	2	0
20	3	C_derived	1	0	1	2	0	2	1	0	0
20	8	M	1	0	0	1	0	0	2	0	0
20	13	C_ancestor	1	1	0	0	0	0	2	0	0
20	LCA	LCA	0	0	0	0	0	0	0	0	0
