path_idx	node	event	event_count	C_ancestor	C_derived	Ms	Es	hetA	fixed	hetB	hetAB
0	0	M	2	1	1	2	1	2	0	2	0
0	1	E	1	3	0	0	1	2	0	2	0
0	2	C_ancestor	1	6	0	0	0	2	0	2	0
0	7	C_ancestor	2	3	0	0	0	0	1	2	0
0	12	C_ancestor	1	1	0	0	0	0	0	2	0
0	LCA	LCA	0	0	0	0	0	0	0	0	0
1	0	M	2	1	1	2	1	2	0	2	0
1	1	E	1	3	0	0	1	2	0	2	0
1	2	C_ancestor	1	6	0	0	0	2	0	2	0
1	7	C_ancestor	1	3	0	0	0	0	1	2	0
1	13	C_ancestor	1	1	0	0	0	0	2	0	0
1	LCA	LCA	0	0	0	0	0	0	0	0	0
2	0	M	2	1	1	2	1	2	0	2	0
2	1	E	1	3	0	0	1	2	0	2	0
2	2	C_ancestor	4	6	0	0	0	2	0	2	0
2	8	C_ancestor	1	3	0	0	0	1	0	1	1
2	12	C_ancestor	1	1	0	0	0	0	0	2	0
2	LCA	LCA	0	0	0	0	0	0	0	0	0
3	0	M	2	1	1	2	1	2	0	2	0
3	1	E	1	3	0	0	1	2	0	2	0
3	2	C_ancestor	4	6	0	0	0	2	0	2	0
3	8	C_ancestor	1	3	0	0	0	1	0	1	1
3	14	C_ancestor	1	1	0	0	0	0	0	0	2
3	LCA	LCA	0	0	0	0	0	0	0	0	0
4	0	M	2	1	1	2	1	2	0	2	0
4	1	E	1	3	0	0	1	2	0	2	0
4	2	C_ancestor	4	6	0	0	0	2	0	2	0
4	8	C_ancestor	1	3	0	0	0	1	0	1	1
4	15	C_ancestor	1	1	0	0	0	2	0	0	0
4	LCA	LCA	0	0	0	0	0	0	0	0	0
5	0	M	2	1	1	2	1	2	0	2	0
5	1	E	1	3	0	0	1	2	0	2	0
5	2	C_ancestor	1	6	0	0	0	2	0	2	0
5	9	C_ancestor	1	3	0	0	0	2	1	0	0
5	13	C_ancestor	1	1	0	0	0	0	2	0	0
5	LCA	LCA	0	0	0	0	0	0	0	0	0
6	0	M	2	1	1	2	1	2	0	2	0
6	1	E	1	3	0	0	1	2	0	2	0
6	2	C_ancestor	1	6	0	0	0	2	0	2	0
6	9	C_ancestor	2	3	0	0	0	2	1	0	0
6	15	C_ancestor	1	1	0	0	0	2	0	0	0
6	LCA	LCA	0	0	0	0	0	0	0	0	0
7	0	M	2	1	1	2	1	2	0	2	0
7	1	C_ancestor	2	3	0	0	1	2	0	2	0
7	5	E	1	1	0	0	1	1	0	1	1
7	8	C_ancestor	1	3	0	0	0	1	0	1	1
