hetA	fixed	hetB	hetAB	probability
2	0	1	0	0.012295282146707042
0	0	0	0	0.033145548030326766
0	0	1	0	0.0243911898942486
0	0	2	0	0.017037543167781232
0	0	0	1	8.767285015862248e-05
0	0	1	1	0.00018173329368594457
0	0	2	1	0.00019416042453979335
0	0	0	2	3.929780531099871e-05
0	0	1	2	7.928628734109513e-05
0	0	2	2	8.155203963865104e-05
0	1	0	0	0.049804759807680926
0	1	1	0	0.029375353768066118
0	1	2	0	0.01702256373354897
0	2	0	0	0.045379917072998294
0	2	1	0	0.02338072553038859
0	2	2	0	0.011798674908290145
1	0	1	0	0.017861927376037815
1	0	2	0	0.01229528214670704
1	0	0	1	0.00018173329368594457
1	0	1	1	0.00038123617431929394
1	0	2	1	0.0004124529090715234
1	0	0	2	7.928628734109513e-05
1	0	1	2	0.0001622184949322655
1	0	2	2	0.0001695157146985295
1	1	0	0	0.029375353768066118
1	1	1	0	0.016324223633646995
1	1	2	0	0.008864551433624569
1	2	0	0	0.023380725530388585
1	2	1	0	0.011475727629807315
1	2	2	0	0.005486010497829423
2	0	0	0	0.017037543167781236
2	0	2	0	0.008234529569046682
2	0	0	1	0.00019416042453979332
2	0	1	1	0.0004124529090715234
2	0	2	1	0.00045202026770256446
2	0	0	2	8.155203963865104e-05
2	0	1	2	0.0001695157146985295
2	0	2	2	0.00018031407845026521
2	1	0	0	0.01702256373354897
2	1	1	0	0.008864551433624569
2	1	2	0	0.004445925104185407
2	2	0	0	0.011798674908290145
2	2	1	0	0.005486010497829423
2	2	2	0	0.0024685884150714467
*	*	*	*	0.4675939079143475
