path_idx	node	event	event_count	C_ancestor	C_derived	Ms	Es	hetA	fixed	hetB	hetAB
0	0	E	1	1	1	0	1	2	0	2	0
0	1	C_derived	1	0	6	0	0	2	0	2	0
0	4	C_derived	2	0	3	0	0	0	1	2	0
0	8	C_derived	1	0	1	0	0	0	0	2	0
0	LCA	LCA	0	0	0	0	0	0	0	0	0
1	0	E	1	1	1	0	1	2	0	2	0
1	1	C_derived	1	0	6	0	0	2	0	2	0
1	4	C_derived	1	0	3	0	0	0	1	2	0
1	9	C_derived	1	0	1	0	0	0	2	0	0
1	LCA	LCA	0	0	0	0	0	0	0	0	0
2	0	E	1	1	1	0	1	2	0	2	0
2	1	C_derived	4	0	6	0	0	2	0	2	0
2	5	C_derived	1	0	3	0	0	1	0	1	1
2	8	C_derived	1	0	1	0	0	0	0	2	0
2	LCA	LCA	0	0	0	0	0	0	0	0	0
3	0	E	1	1	1	0	1	2	0	2	0
3	1	C_derived	4	0	6	0	0	2	0	2	0
3	5	C_derived	1	0	3	0	0	1	0	1	1
3	10	C_derived	1	0	1	0	0	0	0	0	2
3	LCA	LCA	0	0	0	0	0	0	0	0	0
4	0	E	1	1	1	0	1	2	0	2	0
4	1	C_derived	4	0	6	0	0	2	0	2	0
4	5	C_derived	1	0	3	0	0	1	0	1	1
4	11	C_derived	1	0	1	0	0	2	0	0	0
4	LCA	LCA	0	0	0	0	0	0	0	0	0
5	0	E	1	1	1	0	1	2	0	2	0
5	1	C_derived	1	0	6	0	0	2	0	2	0
5	6	C_derived	1	0	3	0	0	2	1	0	0
5	9	C_derived	1	0	1	0	0	0	2	0	0
5	LCA	LCA	0	0	0	0	0	0	0	0	0
6	0	E	1	1	1	0	1	2	0	2	0
6	1	C_derived	1	0	6	0	0	2	0	2	0
6	6	C_derived	2	0	3	0	0	2	1	0	0
6	11	C_derived	1	0	1	0	0	2	0	0	0
6	LCA	LCA	0	0	0	0	0	0	0	0	0
7	0	C_derived	1	1	1	0	1	2	0	2	0
7	2	E	1	1	0	0	1	0	1	2	0
7	4	C_derived	2	0	3	0	0	0	1	2	0
7	8	C_derived	1	0	1	0	0	0	0	2	0
7	LCA	LCA	0	0	0	0	0	0	0	0	0
8	0	C_derived	1	1	1	0	1	2	0	2	0
8	2	E	1	1	0	0	1	0	1	2	0
8	4	C_derived	1	0	3	0	0	0	1	2	0
8	9	C_derived	1	0	1	0	0	0	2	0	0
8	LCA	LCA	0	0	0	0	0	0	0	0	0
9	0	C_derived	1	1	1	0	1	2	0	2	0
9	2	C_ancestor	1	1	0	0	1	0	1	2	0
9	7	E	1	0	0	0	1	0	2	0	0
9	9	C_derived	1	0	1	0	0	0	2	0	0
9	LCA	LCA	0	0	0	0	0	0	0	0	0
10	0	C_ancestor	1	1	1	0	1	2	0	2	0
10	3	E	1	0	1	0	1	2	1	0	0
10	6	C_derived	1	0	3	0	0	2	1	0	0
10	9	C_derived	1	0	1	0	0	0	2	0	0
10	LCA	LCA	0	0	0	0	0	0	0	0	0
11	0	C_ancestor	1	1	1	0	1	2	0	2	0
11	3	E	1	0	1	0	1	2	1	0	0
11	6	C_derived	2	0	3	0	0	2	1	0	0
11	11	C_derived	1	0	1	0	0	2	0	0	0
11	LCA	LCA	0	0	0	0	0	0	0	0	0
12	0	C_ancestor	1	1	1	0	1	2	0	2	0
12	3	C_derived	1	0	1	0	1	2	1	0	0
12	7	E	1	0	0	0	1	0	2	0	0
12	9	C_derived	1	0	1	0	0	0	2	0	0
12	LCA	LCA	0	0	0	0	0	0	0	0	0
