origin	idx	label	A&B	C=A	C=A&B	C=B	M=A>B
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	1	A=[a,a];B=[b+b]	1	1	0	0	2
10	19	A=[a];B=[a,b+b]	1	0	0	1	1
10	25	A=[a];B=[a+b+b]	1	0	0	0	1
10	9	A&B=[a,a+b+b]	0	0	1	0	0
10	10	A&B=[a,a+b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	1	A=[a,a];B=[b+b]	1	1	0	0	2
10	19	A=[a];B=[a,b+b]	1	0	0	1	1
10	7	A&B=[a,a,b+b]	0	0	3	0	0
10	8	A&B=[a+a,b+b]	0	0	1	0	0
10	10	A&B=[a+a,b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	1	A=[a,a];B=[b+b]	1	1	0	0	2
10	19	A=[a];B=[a,b+b]	1	0	0	1	1
10	7	A&B=[a,a,b+b]	0	0	3	0	0
10	9	A&B=[a,a+b+b]	0	0	1	0	0
10	10	A&B=[a,a+b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	1	A=[a,a];B=[b+b]	1	1	0	0	2
10	13	A=[a+a];B=[b+b]	1	0	0	0	1
10	8	A&B=[a+a,b+b]	0	0	1	0	0
10	10	A&B=[a+a,b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	1	A=[a,a];B=[b+b]	1	1	0	0	2
10	7	A&B=[a,a,b+b]	0	0	3	0	0
10	8	A&B=[a+a,b+b]	0	0	1	0	0
10	10	A&B=[a+a,b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	1	A=[a,a];B=[b+b]	1	1	0	0	2
10	7	A&B=[a,a,b+b]	0	0	3	0	0
10	9	A&B=[a,a+b+b]	0	0	1	0	0
10	10	A&B=[a,a+b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	18	A=[a];B=[a+b,b]	1	0	0	1	1
10	25	A=[a];B=[a+b+b]	1	0	0	0	1
10	9	A&B=[a,a+b+b]	0	0	1	0	0
10	10	A&B=[a,a+b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	18	A=[a];B=[a+b,b]	1	0	0	1	1
10	6	A&B=[a,a+b,b]	0	0	3	0	0
10	11	A&B=[a+a+b,b]	0	0	1	0	0
10	10	A&B=[a+a+b,b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	18	A=[a];B=[a+b,b]	1	0	0	1	1
10	6	A&B=[a,a+b,b]	0	0	3	0	0
10	12	A&B=[a+b,a+b]	0	0	1	0	0
10	10	A&B=[a+b,a+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	18	A=[a];B=[a+b,b]	1	0	0	1	1
10	6	A&B=[a,a+b,b]	0	0	3	0	0
10	9	A&B=[a,a+b+b]	0	0	1	0	0
10	10	A&B=[a,a+b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	19	A=[a];B=[a,b+b]	1	0	0	1	1
10	25	A=[a];B=[a+b+b]	1	0	0	0	1
10	9	A&B=[a,a+b+b]	0	0	1	0	0
10	10	A&B=[a,a+b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	19	A=[a];B=[a,b+b]	1	0	0	1	1
10	7	A&B=[a,a,b+b]	0	0	3	0	0
10	8	A&B=[a+a,b+b]	0	0	1	0	0
10	10	A&B=[a+a,b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	19	A=[a];B=[a,b+b]	1	0	0	1	1
10	7	A&B=[a,a,b+b]	0	0	3	0	0
10	9	A&B=[a,a+b+b]	0	0	1	0	0
10	10	A&B=[a,a+b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	4	A&B=[a,a,b,b]	0	0	6	0	0
10	5	A&B=[a+a,b,b]	0	0	3	0	0
10	11	A&B=[a+a+b,b]	0	0	1	0	0
10	10	A&B=[a+a+b,b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	4	A&B=[a,a,b,b]	0	0	6	0	0
10	5	A&B=[a+a,b,b]	0	0	3	0	0
10	8	A&B=[a+a,b+b]	0	0	1	0	0
10	10	A&B=[a+a,b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	4	A&B=[a,a,b,b]	0	0	6	0	0
10	6	A&B=[a,a+b,b]	0	0	3	0	0
10	11	A&B=[a+a+b,b]	0	0	1	0	0
10	10	A&B=[a+a+b,b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	4	A&B=[a,a,b,b]	0	0	6	0	0
10	6	A&B=[a,a+b,b]	0	0	3	0	0
10	12	A&B=[a+b,a+b]	0	0	1	0	0
10	10	A&B=[a+b,a+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	4	A&B=[a,a,b,b]	0	0	6	0	0
10	6	A&B=[a,a+b,b]	0	0	3	0	0
10	9	A&B=[a,a+b+b]	0	0	1	0	0
10	10	A&B=[a,a+b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	4	A&B=[a,a,b,b]	0	0	6	0	0
10	7	A&B=[a,a,b+b]	0	0	3	0	0
10	8	A&B=[a+a,b+b]	0	0	1	0	0
10	10	A&B=[a+a,b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	2	A=[a];B=[a,b,b]	1	0	0	3	1
10	4	A&B=[a,a,b,b]	0	0	6	0	0
10	7	A&B=[a,a,b+b]	0	0	3	0	0
10	9	A&B=[a,a+b+b]	0	0	1	0	0
10	10	A&B=[a,a+b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	3	A=[a+a];B=[b,b]	1	0	0	1	1
10	13	A=[a+a];B=[b+b]	1	0	0	0	1
10	8	A&B=[a+a,b+b]	0	0	1	0	0
10	10	A&B=[a+a,b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	3	A=[a+a];B=[b,b]	1	0	0	1	1
10	5	A&B=[a+a,b,b]	0	0	3	0	0
10	11	A&B=[a+a+b,b]	0	0	1	0	0
10	10	A&B=[a+a+b,b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	3	A=[a+a];B=[b,b]	1	0	0	1	1
10	5	A&B=[a+a,b,b]	0	0	3	0	0
10	8	A&B=[a+a,b+b]	0	0	1	0	0
10	10	A&B=[a+a,b+b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	4	A&B=[a,a,b,b]	0	0	6	0	0
10	5	A&B=[a+a,b,b]	0	0	3	0	0
10	11	A&B=[a+a+b,b]	0	0	1	0	0
10	10	A&B=[a+a+b,b]	0	0	0	0	0
10	0	A=[a,a];B=[b,b]	1	1	0	1	2
10	4	A&B=[a,a,b,b]	0	0	6	0	0
10	5	A&B=[a+a,b,b]	0	0	3	0	0
