origin	idx	label	A&B	C=A	C=A&B	C=B	M=A>B	M=B>A
13	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
13	1	A=[a,a,b];B=[b]	1	3	0	0	3	1
13	36	A=[a,b];B=[a,b]	1	1	0	1	2	2
13	51	A=[a,b,b];B=[a]	1	3	0	0	3	1
13	53	A=[b,b];B=[a,a]	1	1	0	1	2	2
13	52	A=[b];B=[a,a,b]	1	0	0	3	1	3
13	37	B=[a,a,b,b]	0	0	0	6	0	0
13	27	B=[a+a,b,b]	0	0	0	3	0	0
13	28	B=[a+a+b,b]	0	0	0	1	0	0
13	13	B=[a+a+b,b]	0	0	0	0	0	0
13	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
13	1	A=[a,a,b];B=[b]	1	3	0	0	3	1
13	36	A=[a,b];B=[a,b]	1	1	0	1	2	2
13	51	A=[a,b,b];B=[a]	1	3	0	0	3	1
13	53	A=[b,b];B=[a,a]	1	1	0	1	2	2
13	52	A=[b];B=[a,a,b]	1	0	0	3	1	3
13	37	B=[a,a,b,b]	0	0	0	6	0	0
13	27	B=[a+a,b,b]	0	0	0	3	0	0
13	12	B=[a+a,b+b]	0	0	0	1	0	0
13	13	B=[a+a,b+b]	0	0	0	0	0	0
13	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
13	1	A=[a,a,b];B=[b]	1	3	0	0	3	1
13	36	A=[a,b];B=[a,b]	1	1	0	1	2	2
13	51	A=[a,b,b];B=[a]	1	3	0	0	3	1
13	53	A=[b,b];B=[a,a]	1	1	0	1	2	2
13	52	A=[b];B=[a,a,b]	1	0	0	3	1	3
13	37	B=[a,a,b,b]	0	0	0	6	0	0
13	42	B=[a,a+b,b]	0	0	0	3	0	0
13	28	B=[a+a+b,b]	0	0	0	1	0	0
13	13	B=[a+a+b,b]	0	0	0	0	0	0
13	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
13	1	A=[a,a,b];B=[b]	1	3	0	0	3	1
13	36	A=[a,b];B=[a,b]	1	1	0	1	2	2
13	51	A=[a,b,b];B=[a]	1	3	0	0	3	1
13	53	A=[b,b];B=[a,a]	1	1	0	1	2	2
13	52	A=[b];B=[a,a,b]	1	0	0	3	1	3
13	37	B=[a,a,b,b]	0	0	0	6	0	0
13	42	B=[a,a+b,b]	0	0	0	3	0	0
13	43	B=[a+b,a+b]	0	0	0	1	0	0
13	13	B=[a+b,a+b]	0	0	0	0	0	0
13	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
13	1	A=[a,a,b];B=[b]	1	3	0	0	3	1
13	36	A=[a,b];B=[a,b]	1	1	0	1	2	2
13	51	A=[a,b,b];B=[a]	1	3	0	0	3	1
13	53	A=[b,b];B=[a,a]	1	1	0	1	2	2
13	52	A=[b];B=[a,a,b]	1	0	0	3	1	3
13	37	B=[a,a,b,b]	0	0	0	6	0	0
13	42	B=[a,a+b,b]	0	0	0	3	0	0
13	21	B=[a,a+b+b]	0	0	0	1	0	0
13	13	B=[a,a+b+b]	0	0	0	0	0	0
13	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
13	1	A=[a,a,b];B=[b]	1	3	0	0	3	1
13	36	A=[a,b];B=[a,b]	1	1	0	1	2	2
13	51	A=[a,b,b];B=[a]	1	3	0	0	3	1
13	53	A=[b,b];B=[a,a]	1	1	0	1	2	2
13	52	A=[b];B=[a,a,b]	1	0	0	3	1	3
13	37	B=[a,a,b,b]	0	0	0	6	0	0
13	17	B=[a,a,b+b]	0	0	0	3	0	0
13	12	B=[a+a,b+b]	0	0	0	1	0	0
13	13	B=[a+a,b+b]	0	0	0	0	0	0
13	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
13	1	A=[a,a,b];B=[b]	1	3	0	0	3	1
13	36	A=[a,b];B=[a,b]	1	1	0	1	2	2
13	51	A=[a,b,b];B=[a]	1	3	0	0	3	1
13	53	A=[b,b];B=[a,a]	1	1	0	1	2	2
13	52	A=[b];B=[a,a,b]	1	0	0	3	1	3
13	37	B=[a,a,b,b]	0	0	0	6	0	0
13	17	B=[a,a,b+b]	0	0	0	3	0	0
13	21	B=[a,a+b+b]	0	0	0	1	0	0
13	13	B=[a,a+b+b]	0	0	0	0	0	0
13	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
13	1	A=[a,a,b];B=[b]	1	3	0	0	3	1
13	36	A=[a,b];B=[a,b]	1	1	0	1	2	2
13	51	A=[a,b,b];B=[a]	1	3	0	0	3	1
13	53	A=[b,b];B=[a,a]	1	1	0	1	2	2
