origin	idx	label	A&B	C=A	C=A&B	C=B	M=A>B	M=B>A
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	1	A=[a+a];B=[b,b]	1	0	0	1	1	2
16	50	A=[a+a,b];B=[b]	1	1	0	0	2	1
16	44	A=[a+a+b];B=[b]	1	0	0	0	1	1
16	32	B=[a+a+b,b]	0	0	0	1	0	0
16	16	B=[a+a+b,b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	1	A=[a+a];B=[b,b]	1	0	0	1	1	2
16	50	A=[a+a,b];B=[b]	1	1	0	0	2	1
16	49	A=[b];B=[a+a,b]	1	0	0	1	1	2
16	51	A=[b,b];B=[a+a]	1	1	0	0	2	1
16	22	A=[b+b];B=[a+a]	1	0	0	0	1	1
16	19	B=[a+a,b+b]	0	0	0	1	0	0
16	16	B=[a+a,b+b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	1	A=[a+a];B=[b,b]	1	0	0	1	1	2
16	50	A=[a+a,b];B=[b]	1	1	0	0	2	1
16	49	A=[b];B=[a+a,b]	1	0	0	1	1	2
16	45	B=[a+a,b,b]	0	0	0	3	0	0
16	32	B=[a+a+b,b]	0	0	0	1	0	0
16	16	B=[a+a+b,b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	1	A=[a+a];B=[b,b]	1	0	0	1	1	2
16	50	A=[a+a,b];B=[b]	1	1	0	0	2	1
16	49	A=[b];B=[a+a,b]	1	0	0	1	1	2
16	45	B=[a+a,b,b]	0	0	0	3	0	0
16	19	B=[a+a,b+b]	0	0	0	1	0	0
16	16	B=[a+a,b+b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	1	A=[a+a];B=[b,b]	1	0	0	1	1	2
16	50	A=[a+a,b];B=[b]	1	1	0	0	2	1
16	49	A=[b];B=[a+a,b]	1	0	0	1	1	2
16	40	A=[b];B=[a+a+b]	1	0	0	0	1	1
16	32	B=[a+a+b,b]	0	0	0	1	0	0
16	16	B=[a+a+b,b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	1	A=[a+a];B=[b,b]	1	0	0	1	1	2
16	45	B=[a+a,b,b]	0	0	0	3	0	0
16	32	B=[a+a+b,b]	0	0	0	1	0	0
16	16	B=[a+a+b,b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	1	A=[a+a];B=[b,b]	1	0	0	1	1	2
16	45	B=[a+a,b,b]	0	0	0	3	0	0
16	19	B=[a+a,b+b]	0	0	0	1	0	0
16	16	B=[a+a,b+b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	1	A=[a+a];B=[b,b]	1	0	0	1	1	2
16	6	A=[a+a];B=[b+b]	1	0	0	0	1	1
16	19	B=[a+a,b+b]	0	0	0	1	0	0
16	16	B=[a+a,b+b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	2	A=[a,a,b];B=[b]	1	3	0	0	3	1
16	50	A=[a+a,b];B=[b]	1	1	0	0	2	1
16	44	A=[a+a+b];B=[b]	1	0	0	0	1	1
16	32	B=[a+a+b,b]	0	0	0	1	0	0
16	16	B=[a+a+b,b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	2	A=[a,a,b];B=[b]	1	3	0	0	3	1
16	50	A=[a+a,b];B=[b]	1	1	0	0	2	1
16	49	A=[b];B=[a+a,b]	1	0	0	1	1	2
16	51	A=[b,b];B=[a+a]	1	1	0	0	2	1
16	22	A=[b+b];B=[a+a]	1	0	0	0	1	1
16	19	B=[a+a,b+b]	0	0	0	1	0	0
16	16	B=[a+a,b+b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	2	A=[a,a,b];B=[b]	1	3	0	0	3	1
16	50	A=[a+a,b];B=[b]	1	1	0	0	2	1
16	49	A=[b];B=[a+a,b]	1	0	0	1	1	2
16	45	B=[a+a,b,b]	0	0	0	3	0	0
16	32	B=[a+a+b,b]	0	0	0	1	0	0
16	16	B=[a+a+b,b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	2	A=[a,a,b];B=[b]	1	3	0	0	3	1
16	50	A=[a+a,b];B=[b]	1	1	0	0	2	1
16	49	A=[b];B=[a+a,b]	1	0	0	1	1	2
16	45	B=[a+a,b,b]	0	0	0	3	0	0
16	19	B=[a+a,b+b]	0	0	0	1	0	0
16	16	B=[a+a,b+b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	2	A=[a,a,b];B=[b]	1	3	0	0	3	1
16	50	A=[a+a,b];B=[b]	1	1	0	0	2	1
16	49	A=[b];B=[a+a,b]	1	0	0	1	1	2
16	40	A=[b];B=[a+a+b]	1	0	0	0	1	1
16	32	B=[a+a+b,b]	0	0	0	1	0	0
16	16	B=[a+a+b,b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	2	A=[a,a,b];B=[b]	1	3	0	0	3	1
16	50	A=[a+a,b];B=[b]	1	1	0	0	2	1
16	1	A=[a+a];B=[b,b]	1	0	0	1	1	2
16	45	B=[a+a,b,b]	0	0	0	3	0	0
16	32	B=[a+a+b,b]	0	0	0	1	0	0
16	16	B=[a+a+b,b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	2	A=[a,a,b];B=[b]	1	3	0	0	3	1
16	50	A=[a+a,b];B=[b]	1	1	0	0	2	1
16	1	A=[a+a];B=[b,b]	1	0	0	1	1	2
16	45	B=[a+a,b,b]	0	0	0	3	0	0
16	19	B=[a+a,b+b]	0	0	0	1	0	0
16	16	B=[a+a,b+b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	2	A=[a,a,b];B=[b]	1	3	0	0	3	1
16	50	A=[a+a,b];B=[b]	1	1	0	0	2	1
16	1	A=[a+a];B=[b,b]	1	0	0	1	1	2
16	6	A=[a+a];B=[b+b]	1	0	0	0	1	1
16	19	B=[a+a,b+b]	0	0	0	1	0	0
16	16	B=[a+a,b+b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	2	A=[a,a,b];B=[b]	1	3	0	0	3	1
16	28	A=[a,a+b];B=[b]	1	1	0	0	2	1
16	44	A=[a+a+b];B=[b]	1	0	0	0	1	1
16	32	B=[a+a+b,b]	0	0	0	1	0	0
16	16	B=[a+a+b,b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	2	A=[a,a,b];B=[b]	1	3	0	0	3	1
16	28	A=[a,a+b];B=[b]	1	1	0	0	2	1
16	42	A=[a+b];B=[a,b]	1	0	0	1	1	2
16	39	A=[a+b,b];B=[a]	1	1	0	0	2	1
16	20	A=[a+b+b];B=[a]	1	0	0	0	1	1
16	15	B=[a,a+b+b]	0	0	0	1	0	0
16	16	B=[a,a+b+b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	2	A=[a,a,b];B=[b]	1	3	0	0	3	1
16	28	A=[a,a+b];B=[b]	1	1	0	0	2	1
16	42	A=[a+b];B=[a,b]	1	0	0	1	1	2
16	39	A=[a+b,b];B=[a]	1	1	0	0	2	1
16	38	A=[b];B=[a,a+b]	1	0	0	1	1	2
16	29	A=[a,b];B=[a+b]	1	1	0	0	2	1
16	36	A=[a+b];B=[a+b]	1	0	0	0	1	1
16	33	B=[a+b,a+b]	0	0	0	1	0	0
16	16	B=[a+b,a+b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
16	2	A=[a,a,b];B=[b]	1	3	0	0	3	1
16	28	A=[a,a+b];B=[b]	1	1	0	0	2	1
16	42	A=[a+b];B=[a,b]	1	0	0	1	1	2
16	39	A=[a+b,b];B=[a]	1	1	0	0	2	1
16	38	A=[b];B=[a,a+b]	1	0	0	1	1	2
16	29	A=[a,b];B=[a+b]	1	1	0	0	2	1
16	27	A=[a];B=[a+b,b]	1	0	0	1	1	2
16	31	B=[a,a+b,b]	0	0	0	3	0	0
16	32	B=[a+a+b,b]	0	0	0	1	0	0
16	16	B=[a+a+b,b]	0	0	0	0	0	0
16	0	A=[a,a];B=[b,b]	1	1	0	1	2	2
