"hetA","hetB","fixDiff","hetAB","prob"
0,0,0,0,0.033145548030326766
0,1,0,0,0.02439118989424861
0,2,0,0,0.01703754316778124
0,0,0,1,0.00008767285015862247
0,1,0,1,0.00018173329368594444
0,2,0,1,0.0001941604245397931
0,0,0,2,0.00003929780531099869
0,1,0,2,0.00007928628734109502
0,2,0,2,0.00008155203963865084
0,0,1,0,0.04980475980768094
0,1,1,0,0.029375353768066145
0,2,1,0,0.017022563733548983
0,0,2,0,0.04537991707299831
0,1,2,0,0.02338072553038862
0,2,2,0,0.011798674908290152
1,0,0,0,0.024391189894248603
1,1,0,0,0.017861927376037808
1,2,0,0,0.01229528214670704
1,0,0,1,0.00018173329368594468
1,1,0,1,0.0003812361743192943
1,2,0,1,0.00041245290907152704
1,0,0,2,0.00007928628734109519
1,1,0,2,0.00016221849493226574
1,2,0,2,0.00016951571469852933
1,0,1,0,0.02937535376806613
1,1,1,0,0.016324223633646988
1,2,1,0,0.00886455143362455
1,0,2,0,0.023380725530388603
1,1,2,0,0.011475727629807291
1,2,2,0,0.005486010497829405
2,0,0,0,0.017037543167781225
2,1,0,0,0.012295282146707043
2,2,0,0,0.0082345295690467
2,0,0,1,0.00019416042453979316
2,1,0,1,0.000412452909071527
2,2,0,1,0.00045202026770256376
2,0,0,2,0.0000815520396386509
2,1,0,2,0.0001695157146985293
2,2,0,2,0.0001803140784502645
2,0,1,0,0.01702256373354896
2,1,1,0,0.008864551433624576
2,2,1,0,0.004445925104185423
2,0,2,0,0.01179867490829013
2,1,2,0,0.005486010497829429
2,2,2,0,0.0024685884150714476
