window_id	count	hetA	fixed	hetB	hetAB
chr18_16018012_16029340	705	0	0	0	0
chr18_16018012_16029340	276	0	0	1	0
chr18_16018012_16029340	253	0	0	2	0
chr18_16018012_16029340	229	0	1	0	0
chr18_16018012_16029340	198	1	0	0	0
chr18_16018012_16029340	189	0	2	0	0
chr18_16018012_16029340	157	1	1	0	0
chr18_16018012_16029340	117	0	3	0	0
chr18_16018012_16029340	115	2	0	0	0
chr18_16018012_16029340	101	1	2	0	0
chr18_16018012_16029340	90	0	0	3	0
chr18_16018012_16029340	66	1	0	1	0
chr18_16018012_16029340	65	0	1	1	0
chr18_16018012_16029340	59	2	2	0	0
chr18_16018012_16029340	55	1	0	2	0
chr18_16018012_16029340	55	1	3	0	0
chr18_16018012_16029340	46	1	0	3	0
chr18_16018012_16029340	39	3	1	0	0
chr18_16018012_16029340	37	1	1	1	0
chr18_16018012_16029340	37	0	0	4	0
chr18_16018012_16029340	34	2	1	0	0
chr18_16018012_16029340	27	0	3	1	0
chr18_16018012_16029340	26	2	0	1	0
chr18_16018012_16029340	25	0	4	0	0
chr18_16018012_16029340	24	3	0	0	0
chr18_16018012_16029340	23	0	0	1	1
chr18_16018012_16029340	23	0	0	0	1
chr18_16018012_16029340	22	3	0	1	0
chr18_16018012_16029340	21	0	2	1	0
chr18_16018012_16029340	21	1	3	1	0
chr18_16018012_16029340	19	0	0	2	1
chr18_16018012_16029340	19	1	0	0	1
chr18_16018012_16029340	18	4	0	0	0
chr18_16018012_16029340	18	2	1	1	0
chr18_16018012_16029340	17	1	1	2	0
chr18_16018012_16029340	17	0	0	3	1
chr18_16018012_16029340	16	4	0	1	0
chr18_16018012_16029340	16	0	5	1	0
chr18_16018012_16029340	15	0	0	5	0
chr18_16018012_16029340	14	1	0	4	0
chr18_16018012_16029340	13	0	1	3	0
chr18_16018012_16029340	12	0	1	2	0
chr18_16018012_16029340	12	0	5	0	0
chr18_16018012_16029340	11	1	4	0	0
chr18_16018012_16029340	10	1	0	1	2
chr18_16018012_16029340	10	6	2	0	0
chr18_16018012_16029340	9	1	2	1	0
chr18_16018012_16029340	9	2	0	2	0
chr18_16018012_16029340	8	3	0	2	0
chr18_16018012_16029340	8	1	0	5	0
chr18_16018012_16029340	8	2	0	3	0
chr18_16018012_16029340	8	4	1	0	0
chr18_16018012_16029340	8	3	4	0	0
chr18_16018012_16029340	8	3	4	1	0
chr18_16018012_16029340	7	2	0	1	1
chr18_16018012_16029340	7	0	3	2	0
chr18_16018012_16029340	7	1	0	2	1
chr18_16018012_16029340	6	0	0	1	2
chr18_16018012_16029340	6	1	3	2	0
chr18_16018012_16029340	6	0	2	3	0
chr18_16018012_16029340	6	2	5	0	0
chr18_16018012_16029340	6	3	2	0	0
chr18_16018012_16029340	6	3	2	1	0
chr18_16018012_16029340	6	2	2	1	0
chr18_16018012_16029340	5	1	0	1	1
chr18_16018012_16029340	5	2	3	0	0
chr18_16018012_16029340	5	5	2	0	0
chr18_16018012_16029340	4	0	0	1	3
chr18_16018012_16029340	4	1	0	3	1
chr18_16018012_16029340	4	6	1	1	0
chr18_16018012_16029340	4	6	0	2	0
chr18_16018012_16029340	4	2	1	2	0
chr18_16018012_16029340	4	2	0	4	0
chr18_16018012_16029340	4	0	0	3	2
chr18_16018012_16029340	4	0	4	1	0
chr18_16018012_16029340	4	1	5	0	0
chr18_16018012_16029340	4	2	0	5	0
chr18_16018012_16029340	4	2	5	1	0
chr18_16018012_16029340	4	2	0	4	1
chr18_16018012_16029340	3	0	0	4	1
chr18_16018012_16029340	3	1	4	1	0
chr18_16018012_16029340	3	3	0	0	1
chr18_16018012_16029340	3	1	2	3	0
chr18_16018012_16029340	3	3	1	1	0
chr18_16018012_16029340	3	2	0	3	1
chr18_16018012_16029340	3	4	4	0	0
chr18_16018012_16029340	3	1	6	0	0
chr18_16018012_16029340	3	1	6	1	0
chr18_16018012_16029340	3	2	3	1	0
chr18_16018012_16029340	3	3	3	0	0
chr18_16018012_16029340	3	3	3	1	0
chr18_16018012_16029340	2	1	2	2	0
chr18_16018012_16029340	2	0	0	0	3
chr18_16018012_16029340	2	0	4	0	1
chr18_16018012_16029340	2	1	0	1	3
chr18_16018012_16029340	2	6	0	0	0
chr18_16018012_16029340	2	5	1	1	0
chr18_16018012_16029340	2	5	0	2	0
chr18_16018012_16029340	2	0	1	0	1
chr18_16018012_16029340	2	3	0	4	1
chr18_16018012_16029340	2	4	4	1	0
chr18_16018012_16029340	2	0	1	3	1
chr18_16018012_16029340	2	3	2	2	0
chr18_16018012_16029340	2	2	0	2	1
chr18_16018012_16029340	2	2	2	2	0
chr18_16018012_16029340	1	3	0	1	1
chr18_16018012_16029340	1	1	0	0	3
chr18_16018012_16029340	1	1	0	0	2
chr18_16018012_16029340	1	5	0	0	0
chr18_16018012_16029340	1	3	0	3	1
chr18_16018012_16029340	1	0	0	2	3
chr18_16018012_16029340	1	0	0	0	2
chr18_16018012_16029340	1	1	6	2	0
chr18_16018012_16029340	1	1	2	4	0
chr18_16018012_16029340	1	1	3	3	0
chr18_16018012_16029340	1	0	1	2	1
